,close,date,high,low,open,volume
0,3.10,2018. 03. 21.,3.21,3.01,3.05,"9,267,060"
1,3.03,2018. 03. 20.,3.08,2.82,3.02,"7,161,360"
2,3.00,2018. 03. 19.,3.01,2.77,2.88,"6,970,000"
3,2.90,2018. 03. 18.,3.00,2.47,2.99,"5,820,200"
4,2.99,2018. 03. 17.,3.28,2.97,3.23,"3,134,330"
5,3.24,2018. 03. 16.,3.36,3.15,3.28,"4,696,370"
6,3.29,2018. 03. 15.,3.36,3.12,3.34,"4,492,260"
7,3.33,2018. 03. 14.,3.83,3.25,3.76,"4,115,390"
8,3.76,2018. 03. 13.,3.93,3.72,3.84,"4,927,140"
9,3.83,2018. 03. 12.,4.12,3.73,3.98,"6,402,490"
10,3.98,2018. 03. 11.,4.06,3.71,3.80,"5,110,830"
11,3.80,2018. 03. 10.,4.15,3.78,4.04,"3,019,420"
12,4.05,2018. 03. 09.,4.06,3.61,3.95,"5,327,570"
13,3.96,2018. 03. 08.,4.32,3.93,4.22,"5,435,600"
14,4.22,2018. 03. 07.,4.75,4.14,4.70,"6,757,670"
15,4.70,2018. 03. 06.,4.89,4.62,4.89,"5,732,700"
16,4.90,2018. 03. 05.,5.05,4.90,5.00,"6,577,140"
17,5.00,2018. 03. 04.,5.01,4.86,4.96,"5,103,170"
18,4.96,2018. 03. 03.,5.07,4.93,4.99,"7,420,780"
19,4.98,2018. 03. 02.,5.09,4.94,5.06,"7,102,660"
20,5.06,2018. 03. 01.,5.13,4.81,4.84,"7,657,490"
21,4.84,2018. 02. 28.,5.20,4.82,5.09,"7,993,500"
22,5.09,2018. 02. 27.,5.22,5.00,5.05,"5,586,980"
23,5.05,2018. 02. 26.,5.07,4.84,4.90,"5,681,650"
24,4.89,2018. 02. 25.,4.95,4.75,4.83,"3,705,220"
25,4.84,2018. 02. 24.,5.13,4.72,5.03,"4,331,290"
26,5.05,2018. 02. 23.,5.19,4.67,4.77,"4,480,830"
27,4.78,2018. 02. 22.,5.21,4.70,5.02,"4,642,030"
28,5.01,2018. 02. 21.,5.42,4.90,5.30,"6,416,960"
29,5.30,2018. 02. 20.,5.75,5.25,5.64,"8,803,870"
30,5.63,2018. 02. 19.,5.74,5.44,5.44,"5,679,900"
31,5.47,2018. 02. 18.,6.53,5.44,5.90,"22,189,100"
32,5.90,2018. 02. 17.,5.90,5.55,5.59,"7,018,130"
33,5.59,2018. 02. 16.,5.63,5.38,5.54,"4,204,030"
34,5.54,2018. 02. 15.,5.67,5.40,5.48,"4,539,380"
35,5.47,2018. 02. 14.,5.49,4.98,4.99,"6,093,060"
36,5.00,2018. 02. 13.,5.22,4.91,5.17,"9,288,810"
37,5.16,2018. 02. 12.,5.24,4.91,4.91,"4,348,820"
38,4.89,2018. 02. 11.,5.16,4.69,5.16,"4,394,220"
39,5.16,2018. 02. 10.,5.56,4.98,5.34,"7,705,840"
40,5.34,2018. 02. 09.,5.34,4.71,4.91,"7,438,740"
41,4.89,2018. 02. 08.,5.14,4.57,4.57,"7,021,540"
42,4.58,2018. 02. 07.,5.20,4.37,4.76,"7,140,200"
43,4.78,2018. 02. 06.,4.79,3.43,4.19,"9,932,820"
44,4.18,2018. 02. 05.,5.31,3.89,5.16,"10,330,700"
