,close,date,high,low,open,volume
0,51.80,2018. 03. 21.,54.64,51.30,52.64,"453,314"
1,52.56,2018. 03. 20.,54.50,50.22,52.95,"465,414"
2,52.37,2018. 03. 19.,53.64,49.24,50.19,"514,038"
3,50.70,2018. 03. 18.,51.82,44.22,48.41,"705,667"
4,48.48,2018. 03. 17.,54.82,48.16,54.35,"434,109"
5,54.25,2018. 03. 16.,56.20,53.77,55.91,"613,356"
6,54.83,2018. 03. 15.,56.11,46.35,52.31,"1,949,070"
7,52.18,2018. 03. 14.,61.57,51.10,59.59,"529,811"
8,59.59,2018. 03. 13.,62.23,57.89,59.98,"503,090"
9,59.78,2018. 03. 12.,66.14,56.75,63.49,"554,842"
10,63.61,2018. 03. 11.,65.36,58.33,60.69,"770,623"
11,60.90,2018. 03. 10.,65.31,60.37,61.41,"616,342"
12,61.12,2018. 03. 09.,61.64,52.22,58.40,"1,061,970"
13,58.67,2018. 03. 08.,68.23,58.47,66.44,"976,633"
14,66.78,2018. 03. 07.,76.07,59.95,72.81,"1,668,380"
15,72.90,2018. 03. 06.,81.80,71.18,81.80,"907,286"
16,82.38,2018. 03. 05.,83.64,79.24,80.79,"1,433,830"
17,80.63,2018. 03. 04.,82.20,77.89,80.26,"1,230,430"
18,80.68,2018. 03. 03.,83.02,79.60,80.61,"1,137,500"
19,80.65,2018. 03. 02.,83.75,77.61,78.90,"1,502,120"
20,79.54,2018. 03. 01.,80.79,73.81,74.57,"1,298,860"
21,74.41,2018. 02. 28.,81.18,72.86,77.82,"2,436,670"
22,77.91,2018. 02. 27.,79.23,74.63,75.44,"699,347"
23,75.54,2018. 02. 26.,76.68,70.22,72.08,"904,745"
24,72.04,2018. 02. 25.,82.91,69.47,71.74,"2,970,440"
25,71.84,2018. 02. 24.,78.28,69.33,76.00,"744,244"
26,76.10,2018. 02. 23.,78.75,70.04,72.34,"723,820"
27,72.36,2018. 02. 22.,78.87,70.78,74.76,"809,800"
28,75.55,2018. 02. 21.,82.99,74.29,80.49,"1,335,400"
29,80.92,2018. 02. 20.,90.76,77.52,88.29,"1,869,820"
30,88.21,2018. 02. 19.,93.31,84.46,84.57,"1,142,280"
31,84.94,2018. 02. 18.,97.23,84.94,96.90,"1,290,070"
32,96.26,2018. 02. 17.,98.06,88.96,90.01,"1,790,480"
33,90.42,2018. 02. 16.,90.69,83.61,87.12,"992,508"
