,close,date,high,low,open,volume
0,3.47,2018. 03. 21.,3.73,3.47,3.60,"626,321"
1,3.57,2018. 03. 20.,3.82,3.48,3.60,"868,242"
2,3.51,2018. 03. 19.,3.63,3.36,3.44,"890,162"
3,3.45,2018. 03. 18.,3.60,3.04,3.56,"879,264"
4,3.59,2018. 03. 17.,3.81,3.43,3.59,"818,272"
5,3.53,2018. 03. 16.,3.69,3.27,3.38,"899,148"
6,3.35,2018. 03. 15.,3.46,2.94,3.10,"982,496"
7,3.15,2018. 03. 14.,3.74,3.07,3.64,"716,509"
8,3.58,2018. 03. 13.,3.83,3.56,3.73,"584,217"
9,3.70,2018. 03. 12.,4.09,3.58,3.99,"776,288"
10,3.97,2018. 03. 11.,4.15,3.64,3.87,"922,764"
11,3.87,2018. 03. 10.,4.03,3.29,3.48,"944,892"
12,3.41,2018. 03. 09.,3.50,3.16,3.40,"646,285"
13,3.45,2018. 03. 08.,3.78,3.37,3.69,"653,730"
14,3.69,2018. 03. 07.,4.03,3.61,3.86,"763,436"
15,3.89,2018. 03. 06.,4.50,3.88,4.48,"776,514"
16,4.45,2018. 03. 05.,4.61,4.01,4.08,"1,096,290"
17,4.09,2018. 03. 04.,4.11,3.59,3.73,"965,459"
18,3.76,2018. 03. 03.,3.79,3.42,3.50,"759,386"
19,3.44,2018. 03. 02.,3.75,3.40,3.56,"766,072"
20,3.56,2018. 03. 01.,3.81,3.42,3.48,"671,292"
21,3.50,2018. 02. 28.,3.97,3.43,3.81,"987,356"
22,3.83,2018. 02. 27.,4.02,3.64,3.83,"967,689"
23,3.77,2018. 02. 26.,3.78,3.37,3.56,"1,004,940"
24,3.52,2018. 02. 25.,3.74,3.37,3.56,"917,579"
25,3.65,2018. 02. 24.,4.19,3.50,3.97,"892,795"
26,4.03,2018. 02. 23.,4.20,3.86,3.96,"921,499"
27,3.97,2018. 02. 22.,4.64,3.97,4.54,"903,900"
28,4.55,2018. 02. 21.,4.81,4.20,4.72,"1,092,390"
29,4.73,2018. 02. 20.,5.56,4.65,5.29,"1,129,310"
30,5.28,2018. 02. 19.,5.31,4.31,4.31,"1,205,990"
31,4.37,2018. 02. 18.,4.74,4.05,4.49,"1,026,980"
32,4.45,2018. 02. 17.,4.60,4.08,4.19,"1,215,450"
33,4.22,2018. 02. 16.,4.31,4.00,4.13,"1,254,030"
34,4.15,2018. 02. 15.,4.64,4.04,4.43,"1,264,450"
35,4.41,2018. 02. 14.,4.46,4.15,4.18,"1,209,840"
36,4.20,2018. 02. 13.,4.48,4.13,4.32,"1,342,290"
37,4.30,2018. 02. 12.,4.52,3.79,3.81,"1,319,100"
38,3.81,2018. 02. 11.,3.95,3.39,3.83,"877,228"
39,3.83,2018. 02. 10.,4.28,3.68,3.93,"1,065,960"
40,3.93,2018. 02. 09.,3.97,3.65,3.84,"914,505"
41,3.85,2018. 02. 08.,4.43,3.46,3.46,"1,220,010"
42,3.44,2018. 02. 07.,3.75,2.86,3.08,"962,499"
43,3.11,2018. 02. 06.,3.17,2.07,2.55,"974,245"
44,2.58,2018. 02. 05.,3.50,2.40,3.42,"1,104,250"
45,3.47,2018. 02. 04.,4.19,3.43,4.19,"885,495"
46,4.21,2018. 02. 03.,4.57,3.85,4.13,"1,265,710"
47,4.19,2018. 02. 02.,4.43,3.15,4.40,"1,609,920"
48,4.41,2018. 02. 01.,5.52,4.16,5.43,"1,653,610"
49,5.43,2018. 01. 31.,5.48,4.73,5.28,"1,898,300"
50,5.26,2018. 01. 30.,5.50,4.94,5.47,"1,960,320"
51,5.47,2018. 01. 29.,5.88,5.37,5.81,"1,694,100"
52,5.80,2018. 01. 28.,6.06,5.61,5.79,"1,607,410"
53,5.80,2018. 01. 27.,5.96,5.21,5.29,"1,858,440"
54,5.42,2018. 01. 26.,5.91,4.94,5.28,"1,957,820"
55,5.31,2018. 01. 25.,6.11,5.17,5.99,"2,415,770"
56,5.97,2018. 01. 24.,6.32,5.78,6.12,"2,607,290"
57,6.09,2018. 01. 23.,7.03,5.58,6.90,"3,051,320"
58,6.91,2018. 01. 22.,7.92,6.38,7.68,"2,079,870"
59,7.63,2018. 01. 21.,8.62,7.20,8.59,"3,016,270"
60,8.56,2018. 01. 20.,9.26,8.22,8.35,"3,270,370"
61,8.25,2018. 01. 19.,8.25,6.94,7.00,"3,617,700"
62,7.04,2018. 01. 18.,7.19,5.66,5.78,"4,226,270"
63,5.86,2018. 01. 17.,6.43,4.75,5.98,"2,511,510"
64,5.97,2018. 01. 16.,7.39,5.29,7.37,"2,853,170"
65,7.50,2018. 01. 15.,8.74,7.05,8.67,"4,503,370"
66,8.83,2018. 01. 14.,10.53,8.66,9.42,"5,115,330"
67,9.45,2018. 01. 13.,10.50,7.23,7.27,"7,262,580"
68,7.29,2018. 01. 12.,7.36,6.33,6.95,"4,983,060"
