,close,date,high,low,open,volume
0,561.73,2018. 03. 21.,589.61,550.57,559.10,"1,781,270,000"
1,557.17,2018. 03. 20.,567.09,521.20,556.72,"1,833,680,000"
2,556.73,2018. 03. 19.,558.10,519.12,546.63,"2,046,790,000"
3,538.64,2018. 03. 18.,551.64,460.09,551.64,"2,685,500,000"
4,552.78,2018. 03. 17.,609.15,549.10,601.68,"1,267,810,000"
5,601.67,2018. 03. 16.,623.17,587.86,611.78,"1,417,350,000"
6,611.30,2018. 03. 15.,620.62,579.50,614.84,"1,770,460,000"
7,614.29,2018. 03. 14.,702.78,594.10,691.22,"1,810,560,000"
8,690.83,2018. 03. 13.,713.74,682.35,698.15,"1,425,960,000"
9,699.83,2018. 03. 12.,742.51,683.27,724.41,"1,765,000,000"
10,723.34,2018. 03. 11.,735.83,668.12,685.31,"1,562,680,000"
11,686.89,2018. 03. 10.,748.03,682.70,730.16,"1,532,960,000"
12,728.92,2018. 03. 09.,729.16,648.11,702.20,"2,233,020,000"
13,704.60,2018. 03. 08.,773.77,696.17,752.57,"1,891,640,000"
14,752.83,2018. 03. 07.,825.61,726.55,816.27,"2,175,420,000"
15,816.95,2018. 03. 06.,853.82,809.93,853.82,"1,943,070,000"
16,853.68,2018. 03. 05.,869.92,853.52,866.85,"1,898,490,000"
17,866.68,2018. 03. 04.,867.95,840.28,856.19,"1,697,940,000"
18,857.23,2018. 03. 03.,868.45,855.21,856.71,"1,699,370,000"
19,856.85,2018. 03. 02.,876.38,852.42,871.76,"1,894,420,000"
20,872.20,2018. 03. 01.,880.30,851.92,856.01,"1,868,520,000"
21,855.20,2018. 02. 28.,890.11,855.12,877.93,"1,963,980,000"
22,878.26,2018. 02. 27.,896.26,867.10,870.37,"2,053,980,000"
23,869.32,2018. 02. 26.,880.39,842.32,845.28,"2,044,480,000"
24,844.81,2018. 02. 25.,853.15,822.38,839.46,"1,646,960,000"
25,840.51,2018. 02. 24.,879.53,818.55,861.59,"1,926,580,000"
26,864.19,2018. 02. 23.,886.32,794.79,811.59,"2,334,820,000"
27,812.85,2018. 02. 22.,875.93,802.67,849.26,"2,150,370,000"
28,849.97,2018. 02. 21.,912.38,830.56,894.13,"2,531,730,000"
29,895.37,2018. 02. 20.,965.26,892.95,943.57,"2,545,260,000"
30,943.87,2018. 02. 19.,957.78,921.55,921.67,"2,169,020,000"
31,923.92,2018. 02. 18.,982.93,915.45,973.35,"2,567,290,000"
32,974.12,2018. 02. 17.,976.60,940.75,944.75,"2,525,720,000"
33,944.21,2018. 02. 16.,950.00,917.85,934.79,"2,369,450,000"
34,936.98,2018. 02. 15.,951.95,911.11,923.73,"2,900,100,000"
35,923.56,2018. 02. 14.,926.43,844.28,844.28,"2,818,370,000"
36,845.26,2018. 02. 13.,870.71,828.84,869.29,"2,081,170,000"
37,868.71,2018. 02. 12.,875.94,817.51,817.51,"2,243,450,000"
38,814.66,2018. 02. 11.,859.29,788.22,859.29,"2,486,650,000"
39,860.41,2018. 02. 10.,917.40,825.58,882.47,"2,930,530,000"
40,883.87,2018. 02. 09.,884.00,788.83,818.48,"2,495,820,000"
41,817.81,2018. 02. 08.,845.09,755.84,755.84,"3,708,190,000"
42,757.07,2018. 02. 07.,851.20,723.43,790.43,"3,896,180,000"
43,793.12,2018. 02. 06.,796.44,574.42,707.74,"6,518,270,000"
44,697.95,2018. 02. 05.,856.65,644.60,834.96,"4,269,530,000"
45,834.68,2018. 02. 04.,969.03,805.06,964.67,"2,997,090,000"
46,964.02,2018. 02. 03.,991.94,847.69,919.21,"3,243,480,000"
47,915.78,2018. 02. 02.,1035.77,757.98,1035.77,"6,713,290,000"
48,1036.79,2018. 02. 01.,1161.35,984.82,1119.37,"5,261,680,000"
49,1118.31,2018. 01. 31.,1128.66,1034.50,1071.09,"3,757,560,000"
50,1071.13,2018. 01. 30.,1184.63,1058.97,1184.13,"4,107,860,000"
51,1182.36,2018. 01. 29.,1256.70,1169.08,1246.70,"3,715,080,000"
52,1246.01,2018. 01. 28.,1257.77,1111.78,1111.78,"5,372,330,000"
53,1107.07,2018. 01. 27.,1121.98,1042.12,1055.75,"3,002,870,000"
54,1055.17,2018. 01. 26.,1080.60,996.78,1052.70,"3,617,690,000"
55,1056.03,2018. 01. 25.,1104.66,1034.74,1063.22,"4,050,190,000"
56,1058.78,2018. 01. 24.,1062.44,965.81,987.48,"3,944,040,000"
57,986.23,2018. 01. 23.,1023.23,920.54,1004.17,"3,556,700,000"
58,1003.26,2018. 01. 22.,1089.10,930.74,1055.35,"3,810,100,000"
59,1049.58,2018. 01. 21.,1155.68,1021.50,1155.68,"3,378,090,000"
60,1155.15,2018. 01. 20.,1167.11,1044.95,1044.95,"3,975,190,000"
61,1039.10,2018. 01. 19.,1093.22,1003.71,1028.82,"4,084,450,000"
62,1036.28,2018. 01. 18.,1100.31,967.76,1016.44,"5,938,320,000"
63,1014.25,2018. 01. 17.,1090.23,780.92,1061.34,"8,545,160,000"
64,1053.69,2018. 01. 16.,1292.63,875.54,1292.63,"8,405,140,000"
65,1291.92,2018. 01. 15.,1390.59,1290.60,1365.21,"4,781,100,000"
66,1366.77,2018. 01. 14.,1400.56,1286.21,1397.48,"4,841,630,000"
67,1396.42,2018. 01. 13.,1432.88,1270.47,1270.47,"5,746,760,000"
68,1273.20,2018. 01. 12.,1296.04,1120.09,1158.29,"5,222,300,000"
69,1154.93,2018. 01. 11.,1337.30,1135.17,1268.09,"7,235,900,000"
70,1255.82,2018. 01. 10.,1417.38,1226.60,1300.34,"9,214,950,000"
71,1299.74,2018. 01. 09.,1320.98,1145.49,1146.00,"7,965,460,000"
72,1148.53,2018. 01. 08.,1266.93,1016.05,1158.26,"8,450,970,000"
73,1153.17,2018. 01. 07.,1153.17,1043.01,1043.01,"5,569,880,000"
74,1041.68,2018. 01. 06.,1060.71,994.62,995.15,"4,662,220,000"
75,997.72,2018. 01. 05.,1075.39,956.33,975.75,"6,683,150,000"
76,980.92,2018. 01. 04.,1045.08,946.09,961.71,"6,502,860,000"
77,962.72,2018. 01. 03.,974.47,868.45,886.00,"5,093,160,000"
78,884.44,2018. 01. 02.,914.83,772.35,772.35,"5,783,350,000"
79,772.64,2018. 01. 01.,782.53,742.00,755.76,"2,595,760,000"
80,756.73,2017. 12. 31.,760.35,710.12,712.21,"2,554,270,000"
81,717.26,2017. 12. 30.,753.82,685.23,753.82,"3,187,780,000"
82,753.59,2017. 12. 29.,770.12,729.61,740.39,"2,648,970,000"
83,737.02,2017. 12. 28.,763.32,701.19,762.21,"2,389,150,000"
84,762.84,2017. 12. 27.,789.25,738.41,774.97,"2,100,030,000"
85,773.84,2017. 12. 26.,786.79,760.93,763.37,"2,201,160,000"
86,765.83,2017. 12. 25.,782.52,698.87,698.87,"2,491,760,000"
87,694.15,2017. 12. 24.,721.77,614.92,721.77,"2,300,550,000"
88,719.39,2017. 12. 23.,763.89,679.73,681.32,"2,480,340,000"
89,674.86,2017. 12. 22.,827.68,543.76,822.64,"4,977,710,000"
90,821.06,2017. 12. 21.,880.54,792.69,820.24,"3,569,060,000"
91,819.09,2017. 12. 20.,845.06,756.00,827.52,"3,969,940,000"
92,826.82,2017. 12. 19.,881.94,785.34,793.90,"4,096,550,000"
93,794.64,2017. 12. 18.,803.93,689.23,721.73,"3,249,230,000"
94,719.98,2017. 12. 17.,735.83,696.24,696.24,"2,147,390,000"
95,696.21,2017. 12. 16.,718.38,680.79,686.19,"2,165,690,000"
96,684.45,2017. 12. 15.,697.13,621.06,696.38,"2,758,710,000"
97,695.82,2017. 12. 14.,753.12,664.99,700.59,"3,821,580,000"
98,702.77,2017. 12. 13.,747.99,597.80,644.91,"4,524,540,000"
99,651.43,2017. 12. 12.,657.32,504.49,522.29,"5,179,830,000"
100,515.14,2017. 12. 11.,516.97,439.10,440.36,"1,771,440,000"
101,441.72,2017. 12. 10.,472.79,429.51,472.79,"1,404,180,000"
102,473.50,2017. 12. 09.,504.15,456.25,457.34,"2,003,850,000"
103,456.03,2017. 12. 08.,466.06,422.37,434.99,"2,336,380,000"
104,434.41,2017. 12. 07.,441.40,414.41,426.37,"2,129,570,000"
105,428.59,2017. 12. 06.,462.71,420.21,462.60,"1,998,260,000"
106,463.28,2017. 12. 05.,473.56,457.66,470.29,"1,216,720,000"
107,470.20,2017. 12. 04.,474.78,453.31,466.05,"1,005,550,000"
108,465.85,2017. 12. 03.,482.81,451.85,463.70,"990,557,000"
109,463.45,2017. 12. 02.,476.24,456.65,466.85,"943,650,000"
110,466.54,2017. 12. 01.,472.61,428.31,445.21,"1,247,880,000"
111,447.11,2017. 11. 30.,465.50,401.24,431.21,"1,903,040,000"
112,427.52,2017. 11. 29.,522.31,425.07,473.28,"2,675,940,000"
113,472.90,2017. 11. 28.,482.48,466.35,480.52,"1,346,500,000"
114,480.36,2017. 11. 27.,493.40,468.49,471.53,"1,396,480,000"
115,471.33,2017. 11. 26.,472.72,451.61,465.97,"1,197,780,000"
116,466.28,2017. 11. 25.,485.19,461.05,475.68,"1,422,080,000"
117,474.91,2017. 11. 24.,480.97,402.76,412.50,"2,292,830,000"
118,410.17,2017. 11. 23.,425.55,376.09,381.44,"1,845,680,000"
119,380.65,2017. 11. 22.,381.42,360.15,360.31,"800,819,000"
120,360.40,2017. 11. 21.,372.47,350.69,367.44,"949,912,000"
121,366.73,2017. 11. 20.,372.14,353.29,354.09,"807,027,000"
122,354.39,2017. 11. 19.,371.29,344.74,347.40,"1,181,530,000"
123,347.61,2017. 11. 18.,349.62,327.69,331.98,"649,639,000"
124,332.39,2017. 11. 17.,334.96,327.52,330.17,"621,733,000"
125,330.92,2017. 11. 16.,336.16,323.61,333.44,"797,254,000"
126,333.36,2017. 11. 15.,340.91,329.81,337.96,"722,666,000"
127,337.63,2017. 11. 14.,340.18,316.76,316.76,"1,069,680,000"
128,316.72,2017. 11. 13.,328.42,307.02,307.02,"1,041,890,000"
129,307.91,2017. 11. 12.,319.15,298.51,314.69,"1,613,480,000"
130,314.68,2017. 11. 11.,319.45,298.19,298.59,"842,301,000"
131,299.25,2017. 11. 10.,324.72,294.54,320.67,"885,986,000"
132,320.88,2017. 11. 09.,329.45,307.06,308.64,"893,250,000"
133,309.07,2017. 11. 08.,318.70,293.10,294.27,"967,956,000"
134,294.66,2017. 11. 07.,304.84,290.77,298.57,"540,766,000"
135,298.89,2017. 11. 06.,305.42,293.72,296.43,"579,359,000"
136,296.26,2017. 11. 05.,301.37,295.12,300.04,"337,658,000"
137,300.47,2017. 11. 04.,305.48,295.80,305.48,"416,479,000"
138,305.71,2017. 11. 03.,308.31,287.69,288.50,"646,340,000"
139,287.43,2017. 11. 02.,293.91,281.17,290.73,"904,901,000"
140,291.69,2017. 11. 01.,306.40,290.58,305.76,"553,864,000"
141,305.88,2017. 10. 31.,310.55,305.88,307.38,"369,583,000"
142,307.75,2017. 10. 30.,310.50,304.35,304.78,"331,442,000"
143,305.09,2017. 10. 29.,313.75,296.38,296.38,"551,752,000"
144,296.30,2017. 10. 28.,300.36,293.58,297.92,"264,424,000"
145,297.42,2017. 10. 27.,299.26,294.06,296.51,"257,169,000"
146,296.53,2017. 10. 26.,301.07,295.22,298.02,"270,273,000"
147,297.93,2017. 10. 25.,301.85,290.72,298.44,"325,040,000"
148,298.33,2017. 10. 24.,311.96,282.66,287.12,"684,281,000"
149,286.95,2017. 10. 23.,295.75,277.57,295.10,"482,336,000"
150,295.45,2017. 10. 22.,305.50,292.81,300.55,"327,387,000"
151,300.19,2017. 10. 21.,303.93,291.77,303.57,"408,014,000"
152,304.01,2017. 10. 20.,311.44,303.49,308.05,"396,673,000"
153,308.09,2017. 10. 19.,316.71,305.83,314.54,"349,830,000"
154,314.32,2017. 10. 18.,317.24,290.64,316.94,"606,114,000"
155,317.08,2017. 10. 17.,333.48,311.79,333.48,"509,924,000"
156,333.38,2017. 10. 16.,349.35,332.04,336.71,"692,885,000"
157,336.60,2017. 10. 15.,342.72,320.43,339.53,"635,407,000"
158,339.63,2017. 10. 14.,347.98,334.70,338.85,"516,562,000"
159,338.76,2017. 10. 13.,348.60,299.66,304.08,"1,304,360,000"
