,close,date,high,low,open,volume
0,26.18,2018. 03. 21.,27.17,23.41,23.42,"2,896,710"
1,23.36,2018. 03. 20.,26.40,21.31,26.16,"1,281,650"
2,25.79,2018. 03. 19.,26.19,20.81,21.44,"1,455,190"
3,21.28,2018. 03. 18.,22.25,16.21,21.58,"3,715,790"
4,21.26,2018. 03. 17.,27.48,20.99,27.48,"2,103,490"
5,27.37,2018. 03. 16.,29.16,20.88,22.39,"2,216,640"
6,22.32,2018. 03. 15.,23.63,20.85,23.49,"3,241,480"
7,23.11,2018. 03. 14.,27.62,22.51,26.52,"1,718,490"
8,26.38,2018. 03. 13.,27.71,25.52,26.38,"1,464,130"
9,26.35,2018. 03. 12.,28.60,25.37,27.32,"1,532,070"
10,27.03,2018. 03. 11.,28.55,24.29,25.34,"1,852,290"
11,25.54,2018. 03. 10.,27.30,25.09,26.02,"2,169,200"
12,26.04,2018. 03. 09.,26.06,22.90,25.54,"2,685,180"
13,25.67,2018. 03. 08.,33.92,25.15,28.01,"2,554,400"
14,28.11,2018. 03. 07.,36.49,25.61,29.63,"2,408,720"
15,29.67,2018. 03. 06.,35.05,29.30,35.05,"1,860,980"
16,35.17,2018. 03. 05.,36.42,34.95,35.79,"4,304,470"
17,35.78,2018. 03. 04.,35.78,33.28,35.36,"4,308,390"
18,35.29,2018. 03. 03.,36.96,35.13,36.35,"5,004,520"
19,36.15,2018. 03. 02.,36.58,33.27,33.84,"6,293,850"
20,34.00,2018. 03. 01.,34.23,31.15,31.44,"4,560,120"
21,31.44,2018. 02. 28.,36.10,31.41,34.39,"5,085,970"
22,34.64,2018. 02. 27.,36.05,31.65,32.86,"6,152,090"
23,32.78,2018. 02. 26.,33.33,29.58,29.81,"3,961,660"
24,29.75,2018. 02. 25.,29.89,27.46,27.77,"2,446,120"
25,27.80,2018. 02. 24.,29.77,26.79,29.38,"3,329,380"
26,29.31,2018. 02. 23.,29.89,26.78,28.20,"4,114,120"
27,28.19,2018. 02. 22.,29.69,26.41,27.85,"4,018,360"
28,27.90,2018. 02. 21.,32.10,27.31,28.98,"5,509,830"
