,close,date,high,low,open,volume
0,3.47,2018. 03. 21.,3.70,2.62,2.67,"235,402,000"
1,2.62,2018. 03. 20.,2.74,2.14,2.38,"48,542,400"
2,2.35,2018. 03. 19.,2.35,1.97,2.09,"39,146,200"
3,2.07,2018. 03. 18.,2.10,1.59,1.95,"35,447,300"
4,1.96,2018. 03. 17.,2.25,1.89,2.25,"25,180,000"
5,2.25,2018. 03. 16.,2.39,2.16,2.27,"24,701,000"
6,2.27,2018. 03. 15.,2.43,2.16,2.38,"31,307,700"
7,2.38,2018. 03. 14.,3.14,2.28,2.90,"55,190,300"
8,2.88,2018. 03. 13.,2.94,2.59,2.62,"37,901,500"
9,2.64,2018. 03. 12.,2.86,2.54,2.77,"15,110,200"
10,2.78,2018. 03. 11.,2.82,2.37,2.47,"9,918,750"
11,2.47,2018. 03. 10.,2.83,2.43,2.68,"12,162,200"
12,2.72,2018. 03. 09.,2.73,2.20,2.59,"19,856,200"
13,2.61,2018. 03. 08.,3.07,2.60,3.00,"18,798,000"
14,3.00,2018. 03. 07.,3.47,2.68,3.41,"33,020,700"
15,3.42,2018. 03. 06.,3.59,3.26,3.56,"28,737,100"
16,3.59,2018. 03. 05.,3.67,3.54,3.64,"16,088,900"
17,3.64,2018. 03. 04.,3.75,3.52,3.66,"16,649,900"
18,3.66,2018. 03. 03.,3.88,3.61,3.71,"17,486,200"
19,3.71,2018. 03. 02.,3.88,3.59,3.81,"19,446,700"
20,3.81,2018. 03. 01.,3.86,3.50,3.55,"20,427,300"
21,3.55,2018. 02. 28.,4.02,3.55,4.02,"28,413,100"
22,4.03,2018. 02. 27.,4.10,3.89,4.03,"23,394,200"
23,4.00,2018. 02. 26.,4.25,3.83,3.87,"57,012,300"
24,3.87,2018. 02. 25.,3.91,3.64,3.82,"20,438,700"
25,3.83,2018. 02. 24.,4.10,3.62,3.94,"18,201,100"
26,3.95,2018. 02. 23.,4.20,3.64,3.76,"29,152,600"
27,3.76,2018. 02. 22.,4.34,3.66,4.00,"35,044,500"
28,4.02,2018. 02. 21.,4.57,3.89,4.19,"49,737,300"
29,4.16,2018. 02. 20.,4.84,4.12,4.80,"52,935,400"
30,4.81,2018. 02. 19.,4.94,4.68,4.69,"35,274,700"
31,4.71,2018. 02. 18.,5.40,4.62,5.40,"48,768,400"
32,5.39,2018. 02. 17.,5.78,4.82,4.89,"97,824,900"
33,4.85,2018. 02. 16.,4.97,4.50,4.82,"41,488,100"
34,4.86,2018. 02. 15.,4.88,4.31,4.44,"57,393,200"
35,4.42,2018. 02. 14.,4.52,3.89,3.91,"46,688,800"
36,3.94,2018. 02. 13.,4.32,3.86,4.25,"35,776,400"
37,4.25,2018. 02. 12.,4.48,3.86,3.86,"51,677,700"
38,3.80,2018. 02. 11.,4.15,3.42,4.04,"55,951,900"
39,4.09,2018. 02. 10.,4.71,3.78,4.57,"57,370,900"
40,4.57,2018. 02. 09.,4.58,4.10,4.35,"10,375,600"
41,4.33,2018. 02. 08.,4.50,3.82,3.82,"99,461,300"
42,3.81,2018. 02. 07.,4.84,3.74,4.38,"90,748,200"
43,4.41,2018. 02. 06.,4.70,2.40,3.08,"163,330,000"
44,3.08,2018. 02. 05.,4.35,2.58,4.27,"83,113,100"
45,4.36,2018. 02. 04.,5.48,4.03,5.44,"54,855,100"
46,5.43,2018. 02. 03.,5.96,4.71,5.30,"47,213,900"
47,5.30,2018. 02. 02.,6.08,3.77,6.08,"94,399,400"
48,6.09,2018. 02. 01.,7.75,5.43,7.72,"128,136,000"
49,7.68,2018. 01. 31.,8.82,7.15,8.27,"178,997,000"
50,8.27,2018. 01. 30.,10.08,7.94,9.52,"205,957,000"
51,9.47,2018. 01. 29.,9.63,8.62,9.43,"120,820,000"
52,9.41,2018. 01. 28.,9.63,7.91,7.94,"154,715,000"
53,7.86,2018. 01. 27.,8.07,7.67,7.93,"42,756,600"
54,7.94,2018. 01. 26.,8.10,6.94,7.82,"65,230,500"
55,7.84,2018. 01. 25.,8.73,7.65,8.38,"84,307,600"
56,8.34,2018. 01. 24.,9.30,7.51,8.10,"184,779,000"
57,8.12,2018. 01. 23.,8.73,7.18,8.12,"87,696,600"
58,8.16,2018. 01. 22.,9.30,7.38,9.02,"85,710,100"
59,8.88,2018. 01. 21.,10.33,8.38,10.29,"79,298,200"
60,10.33,2018. 01. 20.,10.68,8.54,8.54,"118,950,000"
61,8.43,2018. 01. 19.,8.77,7.38,7.86,"77,194,800"
62,7.93,2018. 01. 18.,8.70,6.95,7.50,"91,459,000"
63,7.47,2018. 01. 17.,8.12,4.99,7.45,"106,760,000"
64,7.51,2018. 01. 16.,9.91,5.82,9.89,"113,491,000"
65,9.87,2018. 01. 15.,10.78,9.49,10.61,"95,147,400"
66,10.59,2018. 01. 14.,10.83,9.47,9.91,"106,777,000"
67,9.92,2018. 01. 13.,10.42,9.41,9.92,"107,243,000"
68,9.96,2018. 01. 12.,10.35,8.66,9.20,"114,801,000"
69,9.20,2018. 01. 11.,11.68,7.76,11.07,"200,895,000"
70,11.04,2018. 01. 10.,12.33,10.31,12.27,"151,609,000"
71,12.19,2018. 01. 09.,12.64,10.34,10.38,"259,024,000"
72,10.41,2018. 01. 08.,11.28,8.87,9.86,"227,863,000"
73,9.92,2018. 01. 07.,10.50,7.76,7.79,"283,778,000"
74,7.76,2018. 01. 06.,7.94,6.76,6.89,"149,783,000"
75,6.84,2018. 01. 05.,7.89,6.37,7.31,"161,902,000"
76,7.24,2018. 01. 04.,8.08,6.78,7.40,"160,103,000"
77,7.34,2018. 01. 03.,7.41,6.25,6.48,"147,000,000"
78,6.49,2018. 01. 02.,7.11,5.68,6.18,"159,429,000"
79,6.16,2018. 01. 01.,6.43,4.98,5.35,"103,225,000"
80,5.35,2017. 12. 31.,5.51,5.02,5.18,"62,230,900"
81,5.20,2017. 12. 30.,5.53,4.77,5.53,"65,365,800"
82,5.51,2017. 12. 29.,6.04,5.20,5.84,"72,316,600"
83,5.79,2017. 12. 28.,6.04,4.44,5.13,"143,201,000"
84,5.19,2017. 12. 27.,6.28,4.83,6.28,"124,386,000"
85,6.18,2017. 12. 26.,7.34,4.97,6.99,"217,605,000"
86,6.91,2017. 12. 25.,7.10,4.40,4.40,"200,710,000"
87,4.34,2017. 12. 24.,4.34,3.25,4.12,"51,895,300"
88,4.06,2017. 12. 23.,4.39,2.75,2.75,"96,608,400"
89,2.73,2017. 12. 22.,3.13,1.97,2.94,"55,008,500"
90,2.91,2017. 12. 21.,2.99,2.14,2.16,"86,107,900"
91,2.16,2017. 12. 20.,2.21,1.88,2.14,"46,317,300"
92,2.14,2017. 12. 19.,2.44,2.04,2.14,"52,223,100"
93,2.16,2017. 12. 18.,3.54,1.55,2.83,"206,305,000"
94,2.83,2017. 12. 17.,3.24,2.25,2.60,"219,214"
95,2.60,2017. 12. 16.,3.26,2.37,2.40,"209,230"
96,2.40,2017. 12. 15.,2.70,1.90,2.03,"130,752"
97,2.02,2017. 12. 14.,2.13,1.92,2.02,"35,517"
98,2.03,2017. 12. 13.,2.31,1.86,2.11,"60,800"
99,2.11,2017. 12. 12.,2.35,1.90,1.97,"162,836"
100,1.98,2017. 12. 11.,2.05,1.69,1.75,"76,913"
101,1.76,2017. 12. 10.,1.93,1.61,1.88,"83,091"
102,1.88,2017. 12. 09.,1.91,1.59,1.78,"68,996"
103,1.78,2017. 12. 08.,1.84,1.51,1.78,"87,178"
104,1.90,2017. 12. 07.,2.07,1.64,1.75,"199,030"
105,1.75,2017. 12. 06.,1.81,1.57,1.58,"216,482"
106,1.58,2017. 12. 05.,1.68,1.16,1.16,"62,904"
107,1.16,2017. 12. 04.,1.59,1.15,1.55,"95,590"
108,1.55,2017. 12. 03.,1.65,1.43,1.62,"37,541"
109,1.62,2017. 12. 02.,1.64,1.46,1.46,"25,697"
110,1.46,2017. 12. 01.,1.65,1.26,1.35,"97,184"
111,1.35,2017. 11. 30.,1.63,1.11,1.12,"23,448"
112,1.10,2017. 11. 29.,1.74,1.09,1.63,"90,903"
113,1.62,2017. 11. 28.,1.63,1.40,1.40,"117,213"
114,1.45,2017. 11. 27.,1.66,1.00,1.00,"126,392"
115,1.00,2017. 11. 26.,1.18,0.959147,1.13,"52,840"
116,1.19,2017. 11. 25.,1.20,1.09,1.10,"12,393"
117,1.10,2017. 11. 24.,1.11,0.973021,1.01,"63,073"
118,1.01,2017. 11. 23.,1.14,0.936029,1.09,"39,387"
119,1.09,2017. 11. 22.,1.09,0.946389,1.06,"29,666"
120,1.05,2017. 11. 21.,1.06,0.878585,0.963688,"53,901"
121,0.964074,2017. 11. 20.,1.13,0.919725,1.00,"37,446"
122,1.00,2017. 11. 19.,1.12,0.907682,0.969894,"17,206"
123,0.978447,2017. 11. 18.,1.13,0.877750,0.973898,"42,698"
124,0.975336,2017. 11. 17.,1.11,0.891679,1.03,"31,045"
125,1.04,2017. 11. 16.,1.12,0.985271,1.00,"32,680"
126,1.00,2017. 11. 15.,1.09,0.976417,1.06,"36,238"
127,1.06,2017. 11. 14.,1.10,0.905300,0.958108,"35,891"
128,0.957364,2017. 11. 13.,1.12,0.922808,1.04,"26,404"
129,1.04,2017. 11. 12.,1.10,0.800991,1.05,"63,451"
130,1.05,2017. 11. 11.,1.05,0.731008,0.913627,"87,265"
131,0.916497,2017. 11. 10.,1.36,0.854839,1.23,"172,543"
132,1.22,2017. 11. 09.,1.56,1.16,1.31,"88,687"
133,1.32,2017. 11. 08.,1.41,0.971682,1.41,"126,020"
134,1.41,2017. 11. 07.,2.01,0.763202,1.73,"476,528"
135,1.73,2017. 11. 06.,2.07,1.39,1.59,"348,604"
136,1.58,2017. 11. 05.,1.61,1.23,1.24,"88,534"
137,1.40,2017. 11. 04.,1.41,1.15,1.35,"55,451"
138,1.35,2017. 11. 03.,1.35,0.990123,1.18,"51,631"
139,1.17,2017. 11. 02.,1.24,0.879071,1.08,"276,079"
