,close,date,high,low,open,volume
0,0.020892,2018. 03. 21.,0.021389,0.018441,0.018764,"33,151,200"
1,0.018677,2018. 03. 20.,0.019246,0.017187,0.018662,"17,707,700"
2,0.018416,2018. 03. 19.,0.018517,0.016260,0.016666,"18,540,900"
3,0.016655,2018. 03. 18.,0.016784,0.013711,0.016784,"19,719,200"
4,0.016785,2018. 03. 17.,0.018777,0.016667,0.018440,"10,301,700"
5,0.018394,2018. 03. 16.,0.019378,0.017026,0.017979,"17,981,400"
6,0.017994,2018. 03. 15.,0.018890,0.016486,0.018706,"19,139,200"
7,0.018670,2018. 03. 14.,0.022127,0.017886,0.020616,"29,941,900"
8,0.020659,2018. 03. 13.,0.021173,0.018889,0.019376,"25,337,000"
9,0.019474,2018. 03. 12.,0.023147,0.018310,0.021590,"34,555,500"
10,0.021583,2018. 03. 11.,0.022554,0.016786,0.017680,"35,502,900"
11,0.017698,2018. 03. 10.,0.019717,0.017534,0.019216,"21,337,100"
12,0.019208,2018. 03. 09.,0.019976,0.016192,0.019740,"40,552,600"
13,0.019799,2018. 03. 08.,0.024988,0.019173,0.024116,"48,801,300"
14,0.024244,2018. 03. 07.,0.031880,0.023520,0.031111,"33,781,600"
15,0.031095,2018. 03. 06.,0.035368,0.030778,0.035021,"34,712,000"
16,0.035174,2018. 03. 05.,0.036859,0.034118,0.034600,"40,693,400"
17,0.034599,2018. 03. 04.,0.034614,0.032885,0.034310,"25,935,500"
18,0.034320,2018. 03. 03.,0.035598,0.034073,0.034477,"24,855,400"
19,0.034444,2018. 03. 02.,0.036624,0.034101,0.034740,"29,294,200"
20,0.034755,2018. 03. 01.,0.035920,0.031621,0.033644,"33,971,800"
21,0.033564,2018. 02. 28.,0.037928,0.033511,0.037510,"17,705,500"
22,0.037579,2018. 02. 27.,0.038115,0.034207,0.034906,"42,812,900"
23,0.034896,2018. 02. 26.,0.036108,0.032670,0.034608,"23,165,600"
24,0.034609,2018. 02. 25.,0.035946,0.032884,0.035178,"32,895,300"
25,0.035268,2018. 02. 24.,0.038922,0.034335,0.037248,"22,365,800"
26,0.037311,2018. 02. 23.,0.038480,0.034405,0.036025,"43,966,100"
27,0.036098,2018. 02. 22.,0.041655,0.035152,0.038625,"57,118,000"
28,0.038633,2018. 02. 21.,0.043418,0.037015,0.042828,"28,149,000"
29,0.042954,2018. 02. 20.,0.047862,0.042625,0.046684,"37,832,000"
30,0.046651,2018. 02. 19.,0.048967,0.045769,0.045769,"46,883,000"
31,0.045997,2018. 02. 18.,0.054401,0.044615,0.052477,"60,928,300"
32,0.052484,2018. 02. 17.,0.054125,0.043963,0.044297,"90,199,900"
33,0.043997,2018. 02. 16.,0.044361,0.040064,0.041204,"50,956,400"
34,0.041144,2018. 02. 15.,0.041920,0.039317,0.041117,"38,058,200"
35,0.041251,2018. 02. 14.,0.041805,0.036782,0.036900,"44,178,200"
36,0.036824,2018. 02. 13.,0.038652,0.035433,0.037900,"43,936,400"
37,0.037856,2018. 02. 12.,0.039186,0.035367,0.035367,"26,960,200"
38,0.035152,2018. 02. 11.,0.039615,0.033519,0.039615,"50,003,200"
39,0.039571,2018. 02. 10.,0.046195,0.037520,0.041201,"48,500,500"
40,0.041391,2018. 02. 09.,0.041650,0.035550,0.038370,"27,286,600"
41,0.038384,2018. 02. 08.,0.039559,0.032782,0.032782,"41,676,500"
42,0.032878,2018. 02. 07.,0.040063,0.030764,0.034648,"52,582,100"
43,0.035528,2018. 02. 06.,0.035739,0.024345,0.029588,"57,222,900"
44,0.029220,2018. 02. 05.,0.040941,0.026701,0.039389,"40,203,400"
45,0.040066,2018. 02. 04.,0.049084,0.037947,0.048007,"34,465,800"
46,0.048056,2018. 02. 03.,0.049821,0.040724,0.046490,"52,686,400"
47,0.046382,2018. 02. 02.,0.053866,0.038166,0.053866,"98,446,300"
48,0.054420,2018. 02. 01.,0.068181,0.048717,0.056332,"127,018,000"
49,0.055796,2018. 01. 31.,0.057689,0.050933,0.056424,"108,212,000"
50,0.055984,2018. 01. 30.,0.070460,0.054299,0.070460,"76,512,800"
51,0.070731,2018. 01. 29.,0.081220,0.064110,0.076494,"168,422,000"
52,0.076161,2018. 01. 28.,0.089174,0.075746,0.088401,"95,810,400"
53,0.088252,2018. 01. 27.,0.095991,0.086912,0.092181,"101,940,000"
54,0.092180,2018. 01. 26.,0.106512,0.082453,0.100435,"177,693,000"
55,0.101158,2018. 01. 25.,0.135383,0.085817,0.125822,"618,930,000"
56,0.126760,2018. 01. 24.,0.136496,0.034821,0.037826,"619,237,000"
57,0.037938,2018. 01. 23.,0.045461,0.030730,0.031968,"85,930,400"
58,0.031950,2018. 01. 22.,0.039071,0.027925,0.035424,"96,426,600"
59,0.034814,2018. 01. 21.,0.045308,0.032549,0.045308,"65,779,900"
60,0.045300,2018. 01. 20.,0.046921,0.039277,0.040985,"162,727,000"
61,0.040732,2018. 01. 19.,0.042651,0.030777,0.037217,"154,513,000"
62,0.037479,2018. 01. 18.,0.038539,0.024605,0.027640,"143,293,000"
63,0.026997,2018. 01. 17.,0.030731,0.018878,0.026965,"113,277,000"
64,0.026628,2018. 01. 16.,0.029004,0.019169,0.023525,"98,024,200"
