,close,date,high,low,open,volume
0,169.05,2018. 03. 21.,175.26,166.62,169.56,"462,536,000"
1,168.82,2018. 03. 20.,173.30,156.81,161.52,"492,892,000"
2,161.14,2018. 03. 19.,163.05,151.66,155.47,"504,833,000"
3,154.07,2018. 03. 18.,156.15,138.02,152.54,"595,955,000"
4,152.97,2018. 03. 17.,165.22,151.06,165.19,"403,809,000"
5,165.45,2018. 03. 16.,171.26,158.99,164.82,"436,628,000"
6,164.48,2018. 03. 15.,167.33,151.48,161.20,"564,609,000"
7,161.10,2018. 03. 14.,177.55,158.63,175.94,"480,653,000"
8,175.78,2018. 03. 13.,181.87,172.26,177.60,"468,094,000"
9,178.23,2018. 03. 12.,193.34,175.88,189.02,"567,629,000"
10,188.95,2018. 03. 11.,193.48,172.47,177.51,"669,378,000"
11,177.73,2018. 03. 10.,194.65,176.54,188.11,"625,808,000"
12,187.17,2018. 03. 09.,189.91,160.43,176.48,"943,364,000"
13,176.51,2018. 03. 08.,188.15,176.17,185.70,"612,509,000"
14,185.84,2018. 03. 07.,199.28,175.65,196.83,"755,925,000"
15,196.60,2018. 03. 06.,210.51,193.16,210.51,"661,078,000"
16,211.18,2018. 03. 05.,215.98,209.25,213.74,"594,829,000"
17,213.80,2018. 03. 04.,214.12,205.36,210.24,"574,675,000"
18,210.64,2018. 03. 03.,217.76,209.54,213.84,"681,866,000"
19,212.56,2018. 03. 02.,213.13,204.88,209.56,"627,142,000"
20,209.75,2018. 03. 01.,214.70,201.54,203.12,"678,542,000"
21,202.90,2018. 02. 28.,223.51,202.71,217.28,"761,322,000"
22,216.60,2018. 02. 27.,224.21,215.84,221.71,"856,454,000"
23,220.96,2018. 02. 26.,234.42,218.74,222.14,"1,297,080,000"
24,220.47,2018. 02. 25.,225.55,202.37,208.13,"1,028,590,000"
25,209.42,2018. 02. 24.,220.31,197.88,210.64,"937,312,000"
26,209.31,2018. 02. 23.,216.13,184.07,194.19,"1,065,680,000"
27,195.31,2018. 02. 22.,222.77,191.81,212.84,"974,379,000"
28,213.35,2018. 02. 21.,235.41,208.93,230.95,"1,195,820,000"
29,232.85,2018. 02. 20.,253.90,222.51,223.09,"1,739,670,000"
30,223.06,2018. 02. 19.,226.97,215.38,215.41,"767,597,000"
31,215.74,2018. 02. 18.,232.64,214.46,230.51,"1,011,120,000"
32,229.47,2018. 02. 17.,233.45,225.60,229.50,"863,401,000"
33,230.12,2018. 02. 16.,236.09,212.33,225.50,"1,300,090,000"
34,225.43,2018. 02. 15.,237.88,211.17,212.35,"2,087,290,000"
