,close,date,high,low,open,volume
0,15.40,2018. 03. 21.,16.91,15.33,15.97,"1,869,030"
1,16.00,2018. 03. 20.,16.39,14.53,15.51,"1,491,100"
2,15.35,2018. 03. 19.,16.18,14.11,15.01,"2,709,430"
3,15.25,2018. 03. 18.,15.28,11.43,14.12,"2,250,130"
4,14.14,2018. 03. 17.,15.61,14.05,15.57,"1,154,360"
5,15.47,2018. 03. 16.,16.80,15.29,16.10,"1,080,750"
6,16.15,2018. 03. 15.,16.54,14.86,15.96,"1,541,770"
7,15.96,2018. 03. 14.,19.45,15.15,19.01,"2,529,050"
8,18.99,2018. 03. 13.,20.05,16.92,16.99,"8,985,480"
9,16.92,2018. 03. 12.,17.10,15.33,16.75,"1,889,600"
10,16.76,2018. 03. 11.,17.15,14.81,15.81,"1,462,540"
11,15.74,2018. 03. 10.,18.27,15.66,15.66,"3,002,340"
12,15.70,2018. 03. 09.,16.00,13.29,15.77,"2,583,300"
13,15.83,2018. 03. 08.,18.27,15.38,17.81,"2,441,460"
14,17.79,2018. 03. 07.,20.02,15.74,19.86,"2,858,350"
15,19.85,2018. 03. 06.,21.67,19.14,21.10,"2,378,700"
16,21.14,2018. 03. 05.,23.02,20.81,20.91,"5,000,040"
17,20.99,2018. 03. 04.,21.51,20.02,20.57,"2,981,030"
18,20.57,2018. 03. 03.,21.88,20.48,21.12,"2,921,890"
19,21.13,2018. 03. 02.,24.34,21.13,22.48,"6,533,470"
20,22.48,2018. 03. 01.,25.96,17.83,17.96,"13,183,100"
21,17.95,2018. 02. 28.,22.05,17.70,21.61,"5,680,820"
22,21.68,2018. 02. 27.,22.60,21.35,22.06,"2,616,080"
23,21.85,2018. 02. 26.,22.33,20.76,21.62,"2,892,080"
24,21.61,2018. 02. 25.,22.07,20.62,21.06,"2,335,780"
25,21.12,2018. 02. 24.,24.11,20.53,23.25,"3,275,860"
26,23.29,2018. 02. 23.,24.60,21.03,21.88,"3,496,160"
27,21.87,2018. 02. 22.,26.64,21.56,23.41,"4,412,880"
28,23.31,2018. 02. 21.,25.03,21.83,24.77,"5,009,300"
29,24.76,2018. 02. 20.,28.62,24.44,27.73,"4,858,160"
30,27.72,2018. 02. 19.,29.30,26.61,26.97,"4,348,660"
31,27.04,2018. 02. 18.,30.57,26.57,30.43,"5,377,530"
32,30.41,2018. 02. 17.,31.03,29.02,30.28,"8,986,340"
33,30.82,2018. 02. 16.,33.43,25.70,26.44,"21,977,100"
34,26.63,2018. 02. 15.,26.90,23.14,26.08,"11,981,900"
35,26.23,2018. 02. 14.,27.54,25.08,26.52,"9,392,710"
36,26.52,2018. 02. 13.,30.08,25.82,29.85,"6,117,800"
37,29.67,2018. 02. 12.,33.41,24.36,24.39,"23,598,600"
38,24.13,2018. 02. 11.,26.40,22.81,25.88,"11,475,600"
39,26.00,2018. 02. 10.,34.82,25.27,31.63,"14,802,400"
40,31.98,2018. 02. 09.,38.64,30.31,33.47,"2,991,380"
41,33.40,2018. 02. 08.,36.81,32.99,32.99,"10,354,100"
42,33.05,2018. 02. 07.,42.99,32.98,39.44,"8,227,980"
43,39.68,2018. 02. 06.,40.10,23.52,36.34,"11,227,000"
44,36.19,2018. 02. 05.,46.80,32.06,46.40,"4,932,840"
45,46.90,2018. 02. 04.,59.22,43.35,59.02,"6,508,120"
46,59.27,2018. 02. 03.,62.27,50.91,54.32,"7,163,180"
47,53.35,2018. 02. 02.,63.08,42.79,63.06,"6,424,200"
48,62.88,2018. 02. 01.,71.99,53.29,70.55,"8,382,490"
49,70.89,2018. 01. 31.,75.46,63.24,67.41,"22,437,500"
50,66.83,2018. 01. 30.,69.89,62.55,69.02,"8,059,110"
51,68.73,2018. 01. 29.,75.83,66.37,74.52,"7,241,240"
52,74.85,2018. 01. 28.,76.49,59.94,62.35,"18,503,900"
53,62.02,2018. 01. 27.,67.50,52.31,53.33,"8,168,590"
54,53.29,2018. 01. 26.,54.65,47.86,49.19,"5,012,380"
55,49.20,2018. 01. 25.,52.42,47.84,49.17,"2,672,480"
56,48.39,2018. 01. 24.,55.45,45.85,47.38,"6,393,180"
57,47.28,2018. 01. 23.,49.75,40.48,42.17,"4,345,440"
58,42.21,2018. 01. 22.,46.37,39.14,44.67,"2,646,180"
59,44.24,2018. 01. 21.,49.80,41.37,49.80,"1,804,750"
60,49.58,2018. 01. 20.,50.22,42.83,42.83,"3,451,100"
61,42.42,2018. 01. 19.,43.93,40.68,42.72,"2,150,410"
62,43.62,2018. 01. 18.,46.73,39.56,40.72,"3,485,680"
63,40.44,2018. 01. 17.,42.34,28.68,37.83,"3,496,210"
64,37.82,2018. 01. 16.,45.96,32.91,45.96,"7,389,190"
65,45.95,2018. 01. 15.,49.73,41.49,47.99,"3,728,310"
66,47.93,2018. 01. 14.,53.91,42.50,50.81,"4,041,320"
67,50.72,2018. 01. 13.,53.48,48.79,50.07,"3,143,950"
68,50.36,2018. 01. 12.,52.92,46.24,48.58,"1,998,500"
69,48.19,2018. 01. 11.,54.18,45.14,52.85,"3,308,110"
70,54.05,2018. 01. 10.,54.51,47.54,53.30,"4,190,550"
71,53.21,2018. 01. 09.,60.65,52.65,57.84,"5,257,620"
72,58.20,2018. 01. 08.,73.85,52.24,54.86,"19,256,500"
73,55.64,2018. 01. 07.,63.79,42.22,42.54,"10,494,700"
74,42.76,2018. 01. 06.,43.27,39.47,41.82,"2,876,040"
75,41.37,2018. 01. 05.,47.28,39.20,45.88,"3,245,770"
76,46.01,2018. 01. 04.,53.08,43.55,52.07,"4,863,890"
77,51.89,2018. 01. 03.,70.82,42.05,45.06,"12,062,500"
78,44.68,2018. 01. 02.,45.86,41.57,41.57,"3,275,410"
79,41.73,2018. 01. 01.,42.59,38.29,41.55,"1,770,540"
80,41.53,2017. 12. 31.,43.16,35.00,36.16,"2,320,920"
81,36.69,2017. 12. 30.,39.17,34.12,38.79,"2,635,550"
82,39.02,2017. 12. 29.,41.25,35.36,35.67,"3,374,230"
83,35.43,2017. 12. 28.,36.45,30.67,36.41,"3,163,370"
84,36.64,2017. 12. 27.,39.85,33.35,38.69,"3,534,810"
85,38.65,2017. 12. 26.,43.87,38.32,40.98,"3,576,820"
86,40.32,2017. 12. 25.,41.15,34.32,36.97,"2,216,610"
87,37.05,2017. 12. 24.,37.85,31.47,36.87,"2,394,820"
88,36.74,2017. 12. 23.,41.53,35.19,35.19,"3,245,200"
89,34.81,2017. 12. 22.,38.77,25.02,37.17,"4,439,270"
90,36.92,2017. 12. 21.,43.33,36.81,42.15,"3,097,100"
91,41.97,2017. 12. 20.,44.56,39.18,43.01,"3,179,160"
92,43.05,2017. 12. 19.,51.21,41.32,47.80,"4,248,520"
93,47.74,2017. 12. 18.,48.52,41.26,42.54,"3,609,740"
94,42.48,2017. 12. 17.,49.88,42.39,47.43,"4,207,230"
95,47.16,2017. 12. 16.,49.51,45.63,47.29,"5,718,880"
96,46.91,2017. 12. 15.,48.33,39.42,42.45,"5,730,890"
97,42.37,2017. 12. 14.,43.89,36.70,36.98,"4,454,990"
98,36.92,2017. 12. 13.,41.37,35.05,39.97,"3,934,120"
99,39.67,2017. 12. 12.,44.73,32.33,32.33,"9,682,920"
100,32.61,2017. 12. 11.,32.61,23.51,23.64,"4,639,860"
101,23.85,2017. 12. 10.,28.74,21.94,28.72,"4,162,280"
