,close,date,high,low,open,volume
0,0.833871,2018. 03. 21.,0.912358,0.793087,0.793087,"11,076,400"
1,0.789981,2018. 03. 20.,0.808215,0.735200,0.765810,"8,595,640"
2,0.762575,2018. 03. 19.,0.779579,0.679298,0.697402,"7,289,490"
3,0.701661,2018. 03. 18.,0.728428,0.623911,0.728428,"6,091,940"
4,0.727584,2018. 03. 17.,0.803301,0.711784,0.786301,"6,832,850"
5,0.785918,2018. 03. 16.,0.833906,0.753463,0.805845,"7,376,920"
6,0.803750,2018. 03. 15.,0.848317,0.728575,0.838134,"8,810,990"
7,0.841671,2018. 03. 14.,1.04,0.841671,0.993922,"8,368,810"
8,0.996144,2018. 03. 13.,1.07,0.965542,1.01,"6,622,740"
9,1.01,2018. 03. 12.,1.16,0.984628,1.11,"21,213,400"
10,1.11,2018. 03. 11.,1.16,0.955529,0.998432,"10,203,200"
11,0.998614,2018. 03. 10.,1.09,0.949601,0.970289,"6,854,640"
12,0.972279,2018. 03. 09.,0.975088,0.823341,0.962294,"4,158,900"
13,0.962315,2018. 03. 08.,1.08,0.945510,0.970782,"6,007,260"
14,0.971258,2018. 03. 07.,1.19,0.935915,1.08,"9,642,870"
15,1.08,2018. 03. 06.,1.12,1.04,1.12,"5,960,650"
16,1.12,2018. 03. 05.,1.21,1.05,1.05,"10,976,900"
17,1.05,2018. 03. 04.,1.14,0.987530,0.987979,"20,328,700"
18,0.988182,2018. 03. 03.,0.991354,0.905777,0.906020,"6,145,260"
19,0.907089,2018. 03. 02.,0.935459,0.886158,0.930163,"3,539,020"
20,0.933124,2018. 03. 01.,0.940735,0.858182,0.885942,"3,687,830"
21,0.886681,2018. 02. 28.,0.955138,0.886294,0.941856,"2,834,880"
22,0.940979,2018. 02. 27.,0.956132,0.919801,0.945856,"3,356,560"
23,0.941486,2018. 02. 26.,0.946213,0.878912,0.914774,"3,256,140"
24,0.916962,2018. 02. 25.,0.927956,0.855901,0.888244,"3,225,880"
25,0.894551,2018. 02. 24.,0.989772,0.863685,0.970990,"3,433,150"
26,0.974667,2018. 02. 23.,0.978725,0.870215,0.922440,"4,695,210"
