,close,date,high,low,open,volume
0,0.016648,2018. 03. 21.,0.017180,0.015459,0.015758,"708,448"
1,0.015715,2018. 03. 20.,0.016243,0.013500,0.014061,"558,747"
2,0.013905,2018. 03. 19.,0.014887,0.012121,0.012121,"503,974"
3,0.012122,2018. 03. 18.,0.012552,0.009760,0.012081,"540,296"
4,0.012077,2018. 03. 17.,0.013298,0.011572,0.013108,"340,987"
5,0.013092,2018. 03. 16.,0.013581,0.012034,0.012635,"386,400"
6,0.012610,2018. 03. 15.,0.021380,0.012093,0.013492,"766,025"
7,0.013480,2018. 03. 14.,0.016003,0.013205,0.015437,"529,437"
8,0.015406,2018. 03. 13.,0.016389,0.015324,0.016075,"628,069"
9,0.016119,2018. 03. 12.,0.018086,0.015742,0.017434,"777,724"
10,0.017469,2018. 03. 11.,0.018245,0.015620,0.016633,"316,028"
11,0.016408,2018. 03. 10.,0.019254,0.015996,0.018714,"385,718"
12,0.018574,2018. 03. 09.,0.018718,0.014792,0.017103,"526,239"
13,0.017329,2018. 03. 08.,0.020515,0.016825,0.018559,"770,408"
14,0.018597,2018. 03. 07.,0.022236,0.017846,0.022043,"732,700"
15,0.022000,2018. 03. 06.,0.024310,0.020937,0.023968,"509,086"
16,0.024008,2018. 03. 05.,0.025162,0.022020,0.025000,"1,172,380"
17,0.025004,2018. 03. 04.,0.025709,0.022811,0.024211,"660,844"
18,0.024237,2018. 03. 03.,0.027603,0.024029,0.026440,"780,518"
19,0.026459,2018. 03. 02.,0.029064,0.024351,0.027889,"1,091,420"
20,0.027624,2018. 03. 01.,0.028072,0.023227,0.023227,"1,309,180"
21,0.023296,2018. 02. 28.,0.024671,0.021102,0.024390,"1,645,530"
22,0.024646,2018. 02. 27.,0.026084,0.023272,0.024999,"1,359,940"
23,0.024926,2018. 02. 26.,0.026416,0.023660,0.025573,"1,133,330"
24,0.025218,2018. 02. 25.,0.025844,0.023374,0.024068,"974,748"
25,0.024792,2018. 02. 24.,0.028177,0.022707,0.027345,"1,143,000"
26,0.027374,2018. 02. 23.,0.028626,0.023986,0.026881,"1,225,930"
27,0.026962,2018. 02. 22.,0.029715,0.025651,0.027457,"1,192,540"
28,0.027502,2018. 02. 21.,0.030463,0.025575,0.030463,"1,231,000"
29,0.030530,2018. 02. 20.,0.034441,0.030300,0.032406,"2,560,400"
30,0.033059,2018. 02. 19.,0.035267,0.031548,0.032318,"1,977,310"
31,0.033486,2018. 02. 18.,0.037175,0.032231,0.036045,"1,300,850"
32,0.035846,2018. 02. 17.,0.038415,0.035115,0.035631,"1,655,100"
33,0.035411,2018. 02. 16.,0.036976,0.033833,0.036182,"2,094,160"
34,0.035042,2018. 02. 15.,0.040456,0.033390,0.040117,"3,613,510"
35,0.040327,2018. 02. 14.,0.040382,0.033072,0.034433,"6,260,590"
36,0.034525,2018. 02. 13.,0.035714,0.026417,0.028622,"5,611,330"
37,0.028589,2018. 02. 12.,0.029340,0.024144,0.024144,"3,502,200"
38,0.024007,2018. 02. 11.,0.029237,0.023297,0.027626,"6,672,220"
39,0.027246,2018. 02. 10.,0.032021,0.024058,0.031141,"3,768,110"
40,0.030859,2018. 02. 09.,0.035068,0.029741,0.035068,"4,865,430"
41,0.034964,2018. 02. 08.,0.037320,0.028603,0.028603,"5,265,480"
42,0.028639,2018. 02. 07.,0.035071,0.027043,0.027724,"9,008,350"
