,close,date,high,low,open,volume
0,260.07,2018. 03. 21.,280.69,254.88,259.76,"69,577,100"
1,259.24,2018. 03. 20.,267.10,237.73,255.75,"54,027,600"
2,252.62,2018. 03. 19.,252.62,228.66,244.59,"58,323,800"
3,244.38,2018. 03. 18.,247.40,204.01,220.19,"59,834,200"
4,220.48,2018. 03. 17.,236.82,219.43,236.82,"41,086,300"
5,236.75,2018. 03. 16.,247.62,233.75,243.08,"43,510,900"
6,242.99,2018. 03. 15.,253.67,233.76,250.25,"45,521,300"
7,250.69,2018. 03. 14.,289.24,246.13,284.55,"52,691,100"
8,284.37,2018. 03. 13.,301.77,279.99,290.44,"46,337,600"
9,291.69,2018. 03. 12.,314.98,280.21,308.76,"51,763,700"
10,309.70,2018. 03. 11.,318.36,278.95,287.68,"55,436,800"
11,288.51,2018. 03. 10.,318.73,286.84,310.89,"51,613,200"
12,310.95,2018. 03. 09.,320.25,282.48,316.96,"75,390,500"
13,318.39,2018. 03. 08.,350.47,315.54,347.68,"57,779,600"
14,347.58,2018. 03. 07.,387.00,332.48,384.21,"59,469,300"
15,384.43,2018. 03. 06.,392.39,376.93,392.39,"57,546,200"
16,391.87,2018. 03. 05.,409.77,391.87,408.78,"57,656,400"
17,409.29,2018. 03. 04.,409.29,384.10,386.92,"63,635,000"
18,387.67,2018. 03. 03.,406.22,382.61,387.02,"61,064,800"
19,387.84,2018. 03. 02.,402.19,375.42,399.43,"54,698,000"
20,400.28,2018. 03. 01.,402.42,381.24,382.62,"44,341,900"
21,382.03,2018. 02. 28.,416.71,382.03,408.52,"53,379,100"
22,408.97,2018. 02. 27.,418.40,400.20,405.05,"44,954,300"
23,404.24,2018. 02. 26.,414.70,384.44,391.65,"56,278,600"
24,391.25,2018. 02. 25.,396.78,382.17,391.60,"50,147,900"
25,392.28,2018. 02. 24.,423.30,379.90,415.35,"57,684,200"
26,416.32,2018. 02. 23.,424.32,382.68,396.84,"65,084,700"
27,397.79,2018. 02. 22.,449.35,396.53,441.61,"70,323,100"
28,434.80,2018. 02. 21.,463.42,418.26,438.75,"98,094,200"
29,438.57,2018. 02. 20.,482.53,436.72,474.24,"92,509,400"
30,472.97,2018. 02. 19.,486.84,447.04,449.52,"89,904,700"
31,451.02,2018. 02. 18.,492.31,447.43,491.61,"75,407,700"
32,490.84,2018. 02. 17.,495.78,475.58,480.43,"89,428,000"
33,481.52,2018. 02. 16.,495.66,465.98,484.19,"81,125,600"
34,486.75,2018. 02. 15.,489.54,465.38,483.83,"91,880,100"
35,483.79,2018. 02. 14.,485.37,445.52,445.52,"95,177,000"
36,447.13,2018. 02. 13.,463.24,432.72,462.04,"69,848,500"
37,462.24,2018. 02. 12.,472.46,436.66,436.66,"73,819,900"
38,434.16,2018. 02. 11.,482.73,412.92,482.73,"87,156,000"
39,483.42,2018. 02. 10.,511.75,460.09,475.10,"124,973,000"
40,475.72,2018. 02. 09.,476.12,401.43,437.10,"109,467,000"
41,435.91,2018. 02. 08.,437.83,355.69,355.69,"113,216,000"
42,354.35,2018. 02. 07.,391.06,327.84,368.75,"95,854,600"
43,372.38,2018. 02. 06.,375.39,262.31,307.35,"140,867,000"
44,303.61,2018. 02. 05.,349.36,281.14,343.02,"56,414,800"
45,346.91,2018. 02. 04.,404.10,333.99,388.73,"45,202,600"
46,388.55,2018. 02. 03.,405.03,345.66,384.51,"53,483,300"
47,383.55,2018. 02. 02.,398.83,306.53,398.83,"113,633,000"
48,400.74,2018. 02. 01.,409.40,367.09,399.26,"117,572,000"
49,397.88,2018. 01. 31.,398.27,362.60,383.87,"77,064,800"
50,383.47,2018. 01. 30.,448.92,381.45,448.92,"77,962,100"
51,448.62,2018. 01. 29.,476.64,443.14,471.43,"75,045,800"
52,471.99,2018. 01. 28.,476.91,453.47,453.47,"74,527,600"
53,451.69,2018. 01. 27.,465.78,437.08,456.53,"71,220,400"
54,456.94,2018. 01. 26.,491.47,429.65,473.68,"87,992,700"
55,472.97,2018. 01. 25.,475.46,451.97,457.58,"85,020,800"
56,451.73,2018. 01. 24.,465.27,428.28,442.12,"78,432,400"
57,442.00,2018. 01. 23.,468.72,406.75,446.40,"79,187,400"
58,446.79,2018. 01. 22.,507.23,416.30,492.55,"78,727,100"
59,487.02,2018. 01. 21.,561.81,479.30,559.72,"94,691,700"
60,557.60,2018. 01. 20.,565.23,518.56,528.86,"126,555,000"
61,524.34,2018. 01. 19.,553.12,482.91,486.59,"163,175,000"
62,490.08,2018. 01. 18.,540.89,484.21,497.68,"128,385,000"
63,496.82,2018. 01. 17.,528.83,397.98,509.27,"171,892,000"
64,513.66,2018. 01. 16.,685.68,460.10,627.14,"283,879,000"
65,627.99,2018. 01. 15.,685.82,627.99,671.73,"157,346,000"
66,675.76,2018. 01. 14.,720.03,652.39,701.85,"142,911,000"
67,701.58,2018. 01. 13.,721.63,693.48,703.76,"151,405,000"
68,700.81,2018. 01. 12.,719.57,622.29,651.18,"185,898,000"
69,646.60,2018. 01. 11.,729.01,609.46,719.10,"221,531,000"
70,721.40,2018. 01. 10.,728.46,630.14,672.39,"245,168,000"
71,672.78,2018. 01. 09.,723.29,644.06,693.24,"213,921,000"
72,695.49,2018. 01. 08.,896.28,601.87,884.27,"282,955,000"
73,880.76,2018. 01. 07.,955.26,750.39,756.37,"542,981,000"
74,764.26,2018. 01. 06.,780.84,578.69,587.91,"305,643,000"
75,588.86,2018. 01. 05.,606.11,573.83,590.87,"158,978,000"
76,595.19,2018. 01. 04.,602.00,539.10,583.08,"166,095,000"
77,581.89,2018. 01. 03.,593.67,561.58,581.29,"152,736,000"
78,583.51,2018. 01. 02.,624.97,576.00,578.08,"207,114,000"
79,577.19,2018. 01. 01.,621.69,489.34,508.00,"234,555,000"
80,505.51,2017. 12. 31.,516.36,478.63,482.82,"95,277,100"
81,486.45,2017. 12. 30.,574.10,478.66,574.10,"143,776,000"
82,571.90,2017. 12. 29.,601.50,483.99,507.97,"227,427,000"
83,507.26,2017. 12. 28.,560.12,490.40,552.58,"129,796,000"
84,554.07,2017. 12. 27.,590.16,540.62,574.16,"143,217,000"
85,573.98,2017. 12. 26.,573.98,551.84,560.00,"139,397,000"
86,558.84,2017. 12. 25.,575.16,511.03,536.13,"139,365,000"
87,532.50,2017. 12. 24.,595.39,449.03,595.39,"142,136,000"
88,594.62,2017. 12. 23.,637.24,498.77,542.19,"231,311,000"
89,536.68,2017. 12. 22.,656.02,381.48,652.92,"351,521,000"
90,651.49,2017. 12. 21.,743.96,622.92,674.66,"279,558,000"
91,675.55,2017. 12. 20.,740.69,555.81,613.29,"305,316,000"
92,613.91,2017. 12. 19.,635.55,560.39,595.79,"287,417,000"
93,596.16,2017. 12. 18.,600.69,497.31,538.45,"348,897,000"
94,537.18,2017. 12. 17.,562.00,470.36,471.63,"305,008,000"
95,469.64,2017. 12. 16.,498.33,459.92,469.39,"150,140,000"
96,467.15,2017. 12. 15.,510.82,423.73,510.82,"220,484,000"
97,510.91,2017. 12. 14.,529.77,415.50,416.41,"423,033,000"
98,414.69,2017. 12. 13.,437.24,356.12,372.13,"265,914,000"
99,373.03,2017. 12. 12.,379.12,320.55,320.55,"191,288,000"
100,319.96,2017. 12. 11.,323.36,284.70,290.03,"115,200,000"
101,291.10,2017. 12. 10.,321.55,288.40,317.28,"107,504,000"
102,316.63,2017. 12. 09.,353.35,309.25,327.78,"132,799,000"
103,328.07,2017. 12. 08.,339.99,295.02,308.04,"127,793,000"
104,308.39,2017. 12. 07.,341.80,301.87,339.87,"125,668,000"
105,338.87,2017. 12. 06.,372.85,319.57,322.92,"206,504,000"
106,323.39,2017. 12. 05.,331.05,319.00,330.96,"72,757,600"
107,330.51,2017. 12. 04.,333.39,316.02,323.08,"61,649,200"
108,322.81,2017. 12. 03.,341.84,311.27,329.53,"85,387,900"
109,329.30,2017. 12. 02.,342.73,320.11,335.38,"63,555,100"
110,335.98,2017. 12. 01.,338.11,292.63,306.19,"78,854,200"
111,308.49,2017. 11. 30.,330.78,267.70,309.42,"93,494,200"
112,306.07,2017. 11. 29.,380.57,300.73,371.17,"157,702,000"
113,371.24,2017. 11. 28.,375.42,346.12,347.66,"127,136,000"
114,347.51,2017. 11. 27.,347.51,332.85,340.18,"90,891,200"
115,340.14,2017. 11. 26.,346.80,333.71,344.83,"81,416,400"
116,344.70,2017. 11. 25.,359.86,336.84,348.59,"120,059,000"
117,346.36,2017. 11. 24.,351.50,301.56,310.44,"153,182,000"
118,311.55,2017. 11. 23.,320.54,303.16,319.45,"102,568,000"
