,currency_name,currency_pairs,currency_prices,currency_volumes
0,Bitcoin,BTC/USD,$7005.13,"$134,591,000"
1,Bitcoin,BTC/EUR,$7005.00,"$18,627,800"
2,Ethereum,ETH/USD,$383.92,"$15,981,000"
3,Ripple,XRP/USD,$0.486380,"$9,226,450"
4,Bitcoin Cash,BCH/USD,$662.86,"$6,953,710"
5,Ethereum,ETH/EUR,$383.41,"$6,700,010"
6,Litecoin,LTC/USD,$119.19,"$6,225,040"
7,Ripple,XRP/EUR,$0.486541,"$3,400,800"
8,Ethereum,ETH/BTC,$384.21,"$1,175,160"
9,Bitcoin Cash,BCH/BTC,$668.70,"$1,147,090"
10,Litecoin,LTC/EUR,$118.51,"$1,107,710"
11,Ripple,XRP/BTC,$0.486951,"$954,473"
12,Bitcoin Cash,BCH/EUR,$661.23,"$438,053"
13,Litecoin,LTC/BTC,$119.42,"$338,946"
