,currency_name,currency_pairs,currency_prices,currency_volumes
0,Bitcoin,BTC/USD,$7006.45,"$118,315,000"
1,Ethereum,ETH/USD,$385.84,"$45,856,200"
2,Litecoin,LTC/USD,$119.36,"$34,719,100"
3,Bitcoin,BTC/EUR,$6996.34,"$24,188,300"
4,Bitcoin Cash,BCH/USD,$662.46,"$7,399,000"
5,Ethereum,ETH/EUR, $383.43,"$5,104,060"
6,Bitcoin,BTC/GBP,$7018.03,"$3,424,620"
7,Litecoin,LTC/EUR,$118.22,"$2,877,640"
8,Ethereum,ETH/BTC,$384.84,"$2,368,260"
9,Litecoin,LTC/BTC,$119.28,"$1,265,980"
10,Bitcoin Cash,BCH/BTC,$665.11,"$473,513"
11,Bitcoin Cash,BCH/EUR,$663.03,"$385,411"
