,dtail
0,0.22582166692585043
1,0.22685104800717537
2,0.25263684007501885
3,0.22877191927244345
4,0.3460857438942637
5,0.33912388739313276
6,0.25534391975448517
7,0.24106688721348762
8,0.2124033398887413
9,0.2232016316190931
10,0.2415370365021613
11,0.2274434728711517
12,0.21013802026275227
13,0.14793900186430298
14,0.1744643154302953
15,0.03651442032618392
16,0.048669276717269845
17,0.08498771034387453
18,0.12940865432719717
19,0.13656776690930272
20,0.13481032601742896
21,0.1125740177178819
22,0.10269886632871829
23,0.03735687209104922
24,0.03895818634668576
25,0.031440692729909195
26,0.05263093840849309
27,0.040015245437882145
28,0.07789200706674664
29,0.04719107687759387
30,0.09491753755500368
31,0.03472371646093963
32,0.06667873170509087
33,0.09133819430329088
34,0.09250131764948381
35,0.10158731804838275
36,0.09478310813803986
37,0.08621480513226841
38,0.11291927289917435
39,0.12940179783200023
40,0.13734016194390894
41,0.14643175148621457
42,0.17722745307107973
43,0.17043609867756523
44,0.18097865303432437
45,0.14286516359097104
46,0.08284344708704261
47,0.12275288749215134
48,0.09201214209960557
49,0.07610115214899044
50,0.06301676742039847
51,0.030348309282203584
52,0.0326778440019273
53,0.07216020072671595
54,0.09386031212873694
55,0.07836869424925827
56,0.09405782286326311
57,0.04665131923553298
58,0.08447315183624807
59,0.05895145957901543
60,0.052932345234111416
61,0.034526226591013176
62,0.12705889026464756
63,0.02688121213399279
64,0.009555571506030348
65,0.0411893058995894
66,0.09585415082036561
67,0.12007963841194262
68,0.1573105036710973
69,0.1481922210876125
70,0.20276225732912007
71,0.2513333142905409
72,0.24009106112860973
73,0.2445944058323175
74,0.2756392711022596
75,0.16343689202986122
76,0.22552352940212683
77,0.16387077937296907
78,0.1116505563068472
79,0.11182114468312576
80,0.05458047573633513
81,0.07086061548200195
82,0.08403813529825192
83,0.12664825815048686
84,0.1544384891678374
85,0.1857081506677662
86,0.26829580789114355
87,0.2504008285877612
88,0.230781266885198
89,0.24209279974358028
90,0.24864077721330557
91,0.25305251696503817
92,0.20922246694452723
93,0.22524987988225084
94,0.2655964735444843
95,0.22786603201161024
96,0.2621563543973906
97,0.2587266218426765
98,0.24710047114625905
99,0.271145987285086
100,0.26343681411633996
101,0.2689537829066095
102,0.2729297342727863
103,0.2712123717250922
104,0.2759400440026665
105,0.2772788028711615
106,0.27858231164668296
107,0.28212896996226994
108,0.28309512538184367
109,0.28556631995782844
