,dtail
0,0.3557043469628558
1,0.3463140171547821
2,0.2697173791708578
3,0.17424762721757914
4,0.15706257929717077
5,0.1923455307934261
6,0.09915420762083893
7,0.11423765868308944
8,-0.012693630263158284
9,-0.019028909467055433
10,0.038574058537013955
11,-0.0009241267228439765
12,-0.04008397519954829
13,-0.10187314859418478
14,-0.21264857594223413
15,-0.18259932837255405
16,-0.20936393644052295
17,-0.17812292458554416
18,-0.13059610097101265
19,-0.0769070605991557
20,-0.06925521157587239
21,-0.05918686945742238
22,-0.056543070553545696
23,-0.1401447082631897
24,-0.12274551372117448
25,-0.0911766728400883
26,-0.170174702555825
27,-0.14791738796622855
28,-0.10260460029102692
29,-0.15740472504205674
30,-0.11086029906522388
31,-0.14223950942793745
32,-0.11294206694112127
33,-0.08652583341096595
34,-0.049576403497575805
35,-0.06054820306408075
36,-0.06511082182930546
37,-0.09444689398342163
38,-0.09077109231410281
39,-0.07237035683381891
40,-0.06088986291246906
41,-0.05815458949304533
42,-0.033147539882189256
43,-0.02698684447780006
44,-0.009279733432355011
45,-0.04792292793224555
46,-0.09096842530042631
47,-0.051882216212428764
48,-0.08230563116909681
49,-0.09066611391884952
50,-0.09978744854052926
51,-0.09249020431603319
52,-0.07796210802696768
53,-0.0795825639198639
54,-0.06046104036690868
55,-0.06512144568325279
56,-0.0565818453917427
57,-0.09317673422250197
58,-0.1279974799337344
59,-0.14642169719705134
60,-0.14974415630195187
61,-0.11812985264600681
62,-0.0007142339109784297
63,-0.02032849303244518
64,-0.034749572977816556
65,-0.019356859201288865
66,-0.006344930798531347
67,-0.042968161929252416
68,-0.004786413252404486
69,0.014859147340144582
70,0.059424066975046756
71,0.11103462712973329
72,0.12386299251898446
73,0.12424900464821494
74,0.12791241014380508
75,0.045415893728670845
76,0.11237766401641582
77,0.09831034559818043
78,0.002038617534706102
79,0.030702565941711543
80,0.04056887295479495
81,0.060105332437800724
82,0.06903763375855188
83,0.1068226870192315
84,0.14185158339589599
85,0.1503984721513427
86,0.2216320516529267
87,0.20318913675492575
88,0.18747246308719812
89,0.21080326911784752
90,0.18914603920862982
91,0.21312217840001732
92,0.209572716960658
93,0.2188618852316383
94,0.22491022677973133
95,0.20928153101137353
96,0.22546333339069383
97,0.22301779344439807
98,0.19995213358954148
99,0.24324158336548102
100,0.2228294645047536
101,0.21618842524286003
102,0.2273962499784295
103,0.22344943901508924
104,0.22174308718894514
105,0.2237825974027864
106,0.21789978433774826
107,0.22519217041866318
108,0.22342900619174189
109,0.22048564852229735
