,dtail
0,-0.32982404405037397
1,-0.30733629199178125
2,-0.2959522316409769
3,-0.3321153704243879
4,-0.18812547510091637
5,-0.32441725086977613
6,-0.32514307134043324
7,-0.26601277602303
8,-0.3091817165579823
9,-0.301640910901638
10,-0.2963406286105393
11,-0.2897860771327611
12,-0.28441884171045273
13,-0.33774096448055196
14,-0.32942423643258584
15,-0.4202066422507376
16,-0.44139828705296696
17,-0.4121358938707679
18,-0.4075947867523239
19,-0.4421512016216359
20,-0.39870427804406594
21,-0.4183137282994248
22,-0.43760235037638795
23,-0.4979063244871561
24,-0.48881979184758206
25,-0.4703094271747917
26,-0.4455877362598145
27,-0.47702951607819244
28,-0.44750581519965105
29,-0.4955794042141291
30,-0.45540208676772587
31,-0.48640419484992636
32,-0.4685837673486416
33,-0.47564115791346323
34,-0.478692690873044
35,-0.4600922799622609
36,-0.47370160562192376
37,-0.47969172014011285
38,-0.4610197784018596
39,-0.43660858918735723
40,-0.416554518842428
41,-0.4063776387189318
42,-0.3977489816243983
43,-0.40626482964296007
44,-0.3843515190881312
45,-0.4288793266275108
46,-0.49454916675633687
47,-0.45653691999732754
48,-0.47074801815264233
49,-0.4951521497854086
50,-0.5088461940880348
51,-0.5249281039570225
52,-0.5216329675015664
53,-0.5179351062995051
54,-0.4088972568501173
55,-0.35471945958162887
56,-0.3522622356100622
57,-0.36281841256334135
58,-0.3861888115350379
59,-0.3770367398673989
60,-0.37001672068415403
61,-0.39062289877183076
62,-0.2916448455216719
63,-0.32490316428790894
64,-0.33081682557326964
65,-0.33175142842714866
66,-0.3188614608521394
67,-0.3314199325449141
68,-0.24256916878940488
69,-0.23523400277312262
70,-0.21589547329047276
71,-0.11728761005423516
72,-0.16086043299154668
73,-0.16337861865522893
74,-0.08130726500415908
75,-0.1831782825678101
76,-0.14817089216853546
77,-0.15306684519653832
78,-0.1518636848516357
79,-0.2051593424749191
80,-0.15898600659375153
81,-0.1355796476020866
82,-0.12634831971888327
83,-0.17016467718436326
84,-0.1346418753455646
85,-0.13034476819814536
86,-0.06002790706516625
87,-0.0466664211893425
88,-0.08945152212257612
89,-0.04966922367409149
90,-0.0636735371310776
91,-0.05239589130414446
92,-0.05135483410028374
93,-0.035539466956918286
94,-0.021245398064898724
95,-0.039907254254144126
96,-0.0013485555027540896
97,-0.038065967116218846
98,-0.03273017018252597
99,-0.007349851639563698
100,-0.008588625761976578
101,-0.0081642878823734
102,-0.00270742811821403
103,-0.0010715704546365827
104,0.0007843874976145478
105,0.004501481053157095
106,0.00940375784910297
107,0.011275228442191327
108,0.013897984703088232
109,0.01761683230877405
