,dtail
0,0.13410176079352304
1,0.1384167353497927
2,0.1595042112205799
3,0.14963950650912428
4,0.24702016633341978
5,0.24161127231337048
6,0.13997152147577197
7,0.15747100076190274
8,0.09320194751980121
9,0.10483407545483667
10,0.13056796348083466
11,0.10945173107878778
12,0.09094887388134171
13,0.001142871910472909
14,0.03599616870043579
15,-0.055166337399564586
16,-0.06739622254215381
17,-0.03469253581470053
18,-0.01982537840569927
19,-0.019846180841241373
20,-0.005322899509442702
21,-0.0037650759423271674
22,-0.021248221317391777
23,-0.0685077668932221
24,-0.06380914142328879
25,-0.04445590579301456
26,-0.04422138505242963
27,-0.10408273212773517
28,-0.05955592544572722
29,-0.08145038106856864
30,-0.0500707252918655
31,-0.08697689135837941
32,-0.06819315880512003
33,-0.04252529019048629
34,-0.009077275738947843
35,-0.03495385364740079
36,-0.03819298829133681
37,-0.01954918071112849
38,-0.020009908511331442
39,-0.0021958710155284
40,0.010602936734425666
41,0.015965567928811777
42,0.03478780019887853
43,0.041809947026415176
44,0.06052604245629454
45,0.010858803520745211
46,-0.049147011955762966
47,-0.01241810920379599
48,-0.027422902757848363
49,-0.030904919842237404
50,-0.026569131919067603
51,-0.0536380865474186
52,-0.06189463722010605
53,-0.0432733106456521
54,-0.03439869709583365
55,-0.04246852971182227
56,-0.06907591893047221
57,-0.09101954864493518
58,-0.12198024684422294
59,-0.14116547836436802
60,-0.1496660745733347
61,-0.16597387863455815
62,-0.06557076244867523
63,-0.11349422112369276
64,-0.1015199656800447
65,-0.10348707769601044
66,-0.13786540315289883
67,-0.11370999921762284
68,-0.09204484268361929
69,-0.08807314968675978
70,-0.07084862359564985
71,-0.003924315122722025
72,0.005838346458284072
73,0.007652556292247023
74,0.030693020819140993
75,-0.055732334974906095
76,0.014867124697735296
77,-0.008861909615606706
78,-0.04830473318230194
79,-0.04154052266028765
80,-0.027691628299003096
81,-0.036614951498067816
82,-0.056044298271734655
83,-0.055289226624168714
84,-0.049338646684779386
85,-0.04585033869911062
86,-0.011281919752806457
87,-0.021341499463466307
88,-0.026886319783962387
89,-0.028039282908867647
90,-0.07097447358072029
91,-0.011163706722214062
92,-0.03397297570366109
93,-0.012100288844311968
94,-0.01668216116026805
95,-0.009052740414758925
96,-0.006192102240766495
97,-0.022117163754330538
98,-0.020159696116938602
99,-0.02019704476154316
100,-0.016041769450221927
101,-0.01853877256718578
102,-0.019115273512258474
103,-0.017993651915249792
104,-0.017559237853229992
105,-0.018446231162229987
106,-0.018715153941659568
107,-0.017967038786545986
108,-0.01753615058657554
109,-0.017746899924045295
