,dtail
0,-0.1585294677294728
1,-0.15462261391766485
2,-0.16220982649146926
3,-0.3137947913911896
4,-0.14533284077057695
5,-0.1498276477370305
6,-0.23856222181568937
7,-0.1487190930056176
8,-0.2038674798268464
9,-0.1899548646032102
10,-0.19598388656764715
11,-0.1783715816288004
12,-0.17264108431363193
13,-0.22277072629627143
14,-0.19985740175613886
15,-0.28796626153440547
16,-0.31536240678830396
17,-0.2452935209658621
18,-0.23316075232605088
19,-0.2145866531620377
20,-0.21657658805575497
21,-0.22609174237969973
22,-0.15421567424172422
23,-0.19160161882741586
24,-0.19588493229292178
25,-0.19514433722837238
26,-0.16067848716762223
27,-0.2859781547018965
28,-0.25565673178046644
29,-0.27354231387252587
30,-0.21946178553687753
31,-0.21969532381195003
32,-0.1804435737756339
33,-0.16381443259728373
34,-0.22490689921203025
35,-0.20322140203173655
36,-0.2024874158317187
37,-0.20031541661077507
38,-0.20315834386324744
39,-0.1933017378437324
40,-0.1745738510748549
41,-0.15032078090973863
42,-0.14811109639592507
43,-0.16130160430673965
44,-0.13207028702714707
45,-0.07053908189424671
46,-0.1655477610535076
47,-0.13930593001711802
48,-0.16801056008002502
49,-0.17821911331966697
50,-0.19575242351652097
51,-0.2020468232354204
52,-0.1864820930749463
53,-0.18914799616964562
54,-0.1878809678425834
55,-0.17746031670932816
56,-0.16300133754898086
57,-0.18478648540332268
58,-0.1483365331887544
59,-0.1822275766782342
60,-0.20076086785648234
61,-0.26693453986444415
62,-0.17236300671847918
63,-0.218457616254553
64,-0.20570216667939928
65,-0.17572998941820928
66,-0.2122358505691294
67,-0.2626033224843215
68,-0.1569166578196865
69,-0.18252822073021652
70,-0.11598052412388
71,-0.05627116870469229
72,-0.030374794377284756
73,-0.04875774285372614
74,-0.08663419778178852
75,-0.16706475394841694
76,-0.14281265638995755
77,-0.18650963667711112
78,-0.1644925715294409
79,-0.1953681321150002
80,-0.16772006255909094
81,-0.16763116194500818
82,-0.14369435134980305
83,-0.14778851872414953
84,-0.1362747385227675
85,-0.16234389902148819
86,-0.111750816347566
87,-0.15898743347864608
88,-0.11094115012387978
89,-0.10514005274404303
90,-0.12839734666201708
91,-0.09877124304956925
92,-0.12055923976999977
93,-0.1076208805099948
94,-0.14262834528577278
95,-0.14197435469381461
96,-0.14747488711415135
97,-0.16918637237099965
98,-0.1430503479913157
99,-0.13372880054466413
100,-0.14655776688593886
101,-0.14706391264114263
102,-0.15578827331827366
103,-0.1538417074629032
104,-0.15813163157549653
105,-0.15966553766985897
106,-0.15951493983579337
107,-0.1648759087544041
108,-0.1665462144308129
109,-0.16714994285070076
