,dtail
0,-0.7262552395878592
1,-0.7416671103306018
2,-0.6924837751196755
3,-0.7255951865263951
4,-0.6122509322524852
5,-0.5917624309070728
6,-0.6830763336904051
7,-0.6825268206442514
8,-0.6897802539761251
9,-0.6637457832942749
10,-0.6559790427389403
11,-0.6136777637051156
12,-0.6205486348535524
13,-0.6588347461022181
14,-0.6741440867467128
15,-0.7511189101836219
16,-0.7223951778325013
17,-0.790733772595044
18,-0.7555017726879234
19,-0.8307846512938754
20,-0.8013215136069843
21,-0.7804538321496038
22,-0.7525777966111173
23,-0.8086610374405745
24,-0.8017331216599483
25,-0.7986821879941703
26,-0.7676419994474581
27,-0.7870755143642818
28,-0.7511378831361822
29,-0.7709178477796501
30,-0.738048925863796
31,-0.7718212416929914
32,-0.7463731461294246
33,-0.7508243221869735
34,-0.8020290634961883
35,-0.7790428714054172
36,-0.7852011176234186
37,-0.8057648993378886
38,-0.7834114854170868
39,-0.7478799823813589
40,-0.7585034218644291
41,-0.7472553499463234
42,-0.7384766492979157
43,-0.7279956100607485
44,-0.7085135655528134
45,-0.7364120160530959
46,-0.7648446699100637
47,-0.7279009679803566
48,-0.7366416137404778
49,-0.7545096614702005
50,-0.7772177900259873
51,-0.7878408404797921
52,-0.7724460387943264
53,-0.7673645365655366
54,-0.7526530157976616
55,-0.7444470208541893
56,-0.742967794240831
57,-0.7466686564722274
58,-0.7630732498691191
59,-0.8208454763691466
60,-0.8152485202396469
61,-0.9038201586652947
62,-0.8245240113283976
63,-0.8551811443366645
64,-0.8145458619714493
65,-0.882353321647188
66,-0.8414369672120702
67,-0.8645040018120753
68,-0.8363230914670766
69,-0.8647869141532256
70,-0.8342615125700381
71,-0.7327146014816713
72,-0.7015104942095192
73,-0.6961633458730727
74,-0.7308496316079759
75,-0.7977969650515195
76,-0.7381511253793298
77,-0.748195991692887
78,-0.7732493405686413
79,-0.7679351318793503
80,-0.7555623013149545
81,-0.7506619698995188
82,-0.7429322276113391
83,-0.8194480372224471
84,-0.7916053833722715
85,-0.735773475180396
86,-0.6559374869005796
87,-0.6844436491962256
88,-0.7301585472508575
89,-0.7418995533314948
90,-0.761523820857483
91,-0.7552494786730135
92,-0.7855158219023407
93,-0.7285335344701602
94,-0.7063191710442741
95,-0.6300897470569445
96,-0.6392722613886983
97,-0.6356811837825267
98,-0.650894748410567
99,-0.6399282124119392
100,-0.6654781589610819
101,-0.6661407798472742
102,-0.6705191414609845
103,-0.6664411633302293
104,-0.6676570021145881
105,-0.6626929949970044
106,-0.6638380595543948
107,-0.6628133360366718
108,-0.6646196159041111
109,-0.664322347310454
