,dtail
0,-0.4356224855406995
1,-0.4487050391083204
2,-0.41337365137537346
3,-0.3665483218012531
4,-0.34438949695601
5,-0.35710171775529465
6,-0.3814042446803213
7,-0.4140610285535822
8,-0.40305420008295356
9,-0.3388460952618583
10,-0.33147689753689613
11,-0.3093245411908218
12,-0.29651643952518403
13,-0.30745368415767876
14,-0.30497945105561997
15,-0.32413646916151545
16,-0.3074176940961473
17,-0.29191288246631353
18,-0.28993768106273926
19,-0.34879916700747066
20,-0.3609606265149277
21,-0.3689075002109053
22,-0.3148341954199758
23,-0.32425099045637007
24,-0.3365074973074501
25,-0.3117969009377819
26,-0.3131974092696487
27,-0.2945133645444917
28,-0.266366159571194
29,-0.29237025467242594
30,-0.24011076172036094
31,-0.2596723666885703
32,-0.2405931522366076
33,-0.276521151473072
34,-0.2728454663380903
35,-0.27621833508651317
36,-0.2819963673518035
37,-0.28004130197340293
38,-0.27649821987632983
39,-0.3086238077591161
40,-0.3116008478533932
41,-0.31958192938488716
42,-0.2932110654240765
43,-0.3144780638696428
44,-0.2799810901074541
45,-0.2757497809081087
46,-0.2763181577796044
47,-0.2505729820875404
48,-0.2582981498730732
49,-0.2700664971590955
50,-0.2722169464015508
51,-0.2534130909572441
52,-0.2604390905471319
53,-0.2514477846873272
54,-0.25121268677899694
55,-0.24767115653177535
56,-0.28264725459283646
57,-0.2650997185615296
58,-0.2310274876836114
59,-0.24118777789205967
60,-0.23123059757991904
61,-0.27175882054507927
62,-0.2836846851447006
63,-0.25455580191710314
64,-0.22601871962665643
65,-0.2150359347693011
66,-0.19996292821231154
67,-0.1782967782836909
68,-0.1951494006993128
69,-0.2565557404020326
70,-0.2537567211323665
71,-0.24134586907295602
72,-0.22713426101941822
73,-0.2419534683762275
74,-0.2661559411556309
75,-0.27435966244758
76,-0.27704369469297113
77,-0.30897247359185037
78,-0.27500907540274155
79,-0.27464321810097986
80,-0.2878626418095698
81,-0.24503660829739415
82,-0.2797781662569307
83,-0.3131989550653341
84,-0.31722549341012246
85,-0.32817671227383266
86,-0.30291120390661275
87,-0.311340442227752
88,-0.31024905854968443
89,-0.31390189210355285
90,-0.3106281505439787
91,-0.32279316400616137
92,-0.34245480468259415
93,-0.32670541362500033
94,-0.32972729280690594
95,-0.3016922057426961
96,-0.3095480260156459
97,-0.3342488288919381
98,-0.33604603555295004
99,-0.2755355730011057
100,-0.3129610726128302
101,-0.3110359576976104
102,-0.30678646837032253
103,-0.31115339145355575
104,-0.30875056106670895
105,-0.3073189883334766
106,-0.30878562362773054
107,-0.31066781595410736
108,-0.3077864090081421
109,-0.307909371757894
