,dtail
0,-0.7139068646977195
1,-0.7194563174180059
2,-0.7027432780722963
3,-0.6692841422746952
4,-0.6602119736682481
5,-0.671467461011625
6,-0.6709147476065944
7,-0.6773608801593202
8,-0.6457612478731557
9,-0.6084226717116062
10,-0.6079794731879296
11,-0.5653611226519918
12,-0.5638011320707629
13,-0.535185255892311
14,-0.5338813719444876
15,-0.6317379615090424
16,-0.506348213277091
17,-0.45532649281499504
18,-0.5215735301566006
19,-0.5634178432859334
20,-0.6022121856350556
21,-0.7124156596822685
22,-0.7110488901011447
23,-0.6689916760288425
24,-0.6428618180690303
25,-0.6338797234813097
26,-0.6276661737363503
27,-0.6740267791187806
28,-0.646972637105153
29,-0.6769648485644691
30,-0.6025064886594553
31,-0.6222819479206173
32,-0.6003213809615289
33,-0.6150131908707903
34,-0.5998659840280557
35,-0.6303438724411159
36,-0.6244774916762388
37,-0.6128569162361543
38,-0.5741451714789382
39,-0.5776819189443598
40,-0.6104259042085514
41,-0.5703365332567332
42,-0.5578536810354755
43,-0.5895945498119307
44,-0.5564738768186458
45,-0.5167985870809679
46,-0.5235045205670933
47,-0.49587385278245144
48,-0.5047939874245568
49,-0.5357403256333595
50,-0.48336108363475605
51,-0.4750863893742398
52,-0.49085021491714226
53,-0.49513031529612195
54,-0.4699855686871037
55,-0.49279492186253204
56,-0.4943069244335782
57,-0.47651595704127137
58,-0.4440107710783654
59,-0.4850180029081065
60,-0.5108220658083149
61,-0.5894849942960293
62,-0.5669474770935117
63,-0.5786188955228082
64,-0.5373066045706983
65,-0.5315389118327138
66,-0.5377153508013638
67,-0.49537970058142206
68,-0.5426245533408166
69,-0.5730152260241296
70,-0.5558072564298521
71,-0.534159553825646
72,-0.5441321036798308
73,-0.5560280785401404
74,-0.5678997888186391
75,-0.55416398687154
76,-0.548921523264212
77,-0.5565505759400236
78,-0.5202238407242047
79,-0.5232173009921692
80,-0.5297259656966438
81,-0.5059839168202345
82,-0.5065589113369655
83,-0.5817476522468816
84,-0.5685797394070029
85,-0.5737368513308098
86,-0.5435644820209287
87,-0.5523869997976082
88,-0.5412784087108947
89,-0.5400787497718305
90,-0.5365004859812988
91,-0.5467295847535646
92,-0.5391283975854348
93,-0.5155538266127825
94,-0.554718886521901
95,-0.5256107798126142
96,-0.5447192492359646
97,-0.5198727806940566
98,-0.5328609803241839
99,-0.5175743596525841
100,-0.5219274633791033
101,-0.5271116879681137
102,-0.5196517587891645
103,-0.528407651344649
104,-0.5248450750408988
105,-0.5282253533249455
106,-0.526537937818812
107,-0.5284751797534154
108,-0.5283113070969581
109,-0.528153231660049
