,dtail
0,-0.4158117284816596
1,-0.43450347414897805
2,-0.40710600819299597
3,-0.3727568439445186
4,-0.3431708603001324
5,-0.3470220911634704
6,-0.3537484572747418
7,-0.3537272544970715
8,-0.3028430207120091
9,-0.2813866983655919
10,-0.2850495796241291
11,-0.23597835849525378
12,-0.2546673351629511
13,-0.22028203173152258
14,-0.23740037195654057
15,-0.26026980585176024
16,-0.27257603377144013
17,-0.23955586117129582
18,-0.2287578378329334
19,-0.26308243978847334
20,-0.17640103939226393
21,-0.20300032381589408
22,-0.17611024118345342
23,-0.1486352015122997
24,-0.1781601011762023
25,-0.18046733628732511
26,-0.1963913518119635
27,-0.17034012785152433
28,-0.11524619329745384
29,-0.1754190794413211
30,-0.13296289602417152
31,-0.1436297385991994
32,-0.12582023845381374
33,-0.19868320993155997
34,-0.19969536184150766
35,-0.29950321998959356
36,-0.2969098797231085
37,-0.28565995731077
38,-0.2514958686820733
39,-0.22845940471382303
40,-0.2332849868982375
41,-0.2558937063575023
42,-0.21252855984057412
43,-0.24978583348071895
44,-0.23501389081195773
45,-0.19580015513279306
46,-0.22035288494380326
47,-0.19368297862530096
48,-0.17707983420950904
49,-0.238189267140189
50,-0.1898552804695955
51,-0.19950686153333433
52,-0.16705285012061233
53,-0.16203118110227255
54,-0.1732452681727258
55,-0.162070212860564
56,-0.19301321665387416
57,-0.1471669236790182
58,0.06744996696349267
59,-0.01429333098390903
60,0.0008540688234962845
61,-0.17603696442866001
62,-0.13300086920759785
63,-0.15197260215004935
64,-0.16522123787513987
65,-0.16248597886145738
66,-0.19463411955435161
67,-0.151099529872307
68,-0.17022917834669238
69,-0.19968503660241674
70,-0.24129922760002362
71,-0.21628582892117643
72,-0.20136861362761505
73,-0.230359639117168
74,-0.23798531235205905
75,-0.27001963268640916
76,-0.26104486401777255
77,-0.2760870366426228
78,-0.2625084046194341
79,-0.22020728774147783
80,-0.19559949748975108
81,-0.19887115896866264
82,-0.1973012474001986
83,-0.2136046595027776
84,-0.23696792663548938
85,-0.22900540393113886
86,-0.23654090350517748
87,-0.29532074094984323
88,-0.2776011271157639
89,-0.27712925114110565
90,-0.25531433765955813
91,-0.2997291909114829
92,-0.2876793309693131
93,-0.3581483139499655
94,-0.4181599281336733
95,-0.4047072832154039
96,-0.4350959424719438
97,-0.3605430663916276
98,-0.4552042794276793
99,-0.384310252968125
100,-0.3896066029372094
101,-0.3893653760552136
102,-0.3894913383311618
103,-0.3901023265864769
104,-0.4027425776201675
105,-0.4002123877245505
106,-0.39589792063388274
107,-0.40556186414980677
108,-0.403685325292651
109,-0.4010745193402808
