,dtail
0,-1.063333095883121
1,-1.0850552414718033
2,-1.0296636357610347
3,-0.9991364368329099
4,-0.9721143675777602
5,-0.9778937324444151
6,-0.9890725919347013
7,-0.9965148531013518
8,-0.9365572479205901
9,-0.8897878015058649
10,-0.8921003833829035
11,-0.8163983746272392
12,-0.809451449193925
13,-0.7914269566720626
14,-0.8367807796806919
15,-0.8420127387921684
16,-0.7838333007910536
17,-0.8687839298277605
18,-0.8532281681440431
19,-0.9579264324173076
20,-0.9500848961182975
21,-0.9343790279738556
22,-0.8785744450168468
23,-0.880520312702182
24,-0.8839268031625583
25,-0.8819799322300584
26,-0.8543340768878246
27,-0.8091719269041988
28,-0.7874650403211745
29,-0.8162437110103998
30,-0.7453794655006125
31,-0.7595491119729358
32,-0.7475955397464873
33,-0.7872353147793284
34,-0.8498007918217341
35,-0.8378742027454702
36,-0.8426217536169811
37,-0.8440674448192846
38,-0.8170484770355172
39,-0.820999332320995
40,-0.8422624059806025
41,-0.8436334502606587
42,-0.8242040589351457
43,-0.8401834428784271
44,-0.8179099500580861
45,-0.799301709765339
46,-0.777046842693641
47,-0.7610641679647447
48,-0.7469989532264916
49,-0.7722702870899563
50,-0.7735011523238253
51,-0.7640361905980838
52,-0.7621683092424972
53,-0.7518686629510491
54,-0.7403384029752184
55,-0.7418238000292584
56,-0.7335439429779712
57,-0.7011084203293578
58,-0.6768971033168751
59,-0.7205397268112366
60,-0.721965823934176
61,-0.8713517301561182
62,-0.8673711417542742
63,-0.8735921040342763
64,-0.813732692915853
65,-0.8957068679690114
66,-0.8608714704595888
67,-0.837255287486957
68,-0.8405966221330115
69,-0.8930109718551286
70,-0.9096244432532727
71,-0.8533976434629278
72,-0.8338813676613285
73,-0.8372475991899953
74,-0.8705403601983452
75,-0.8609353458075126
76,-0.8661646420038471
77,-0.858778858133895
78,-0.8265650682917021
79,-0.8436965579661375
80,-0.8708423675486324
81,-0.8461539291048064
82,-0.8437093952860013
83,-0.9412399071005604
84,-0.9585387646914472
85,-0.9073752658336639
86,-0.901055593906468
87,-0.9095823450489068
88,-0.9493982623515339
89,-0.9729305806707569
90,-0.9631769655510392
91,-0.9642405121181687
92,-0.989665560210285
93,-0.9352172048736522
94,-0.9306119510042922
95,-0.8431965179726498
96,-0.8780267585065755
97,-0.8758632815065602
98,-0.8710527698789788
99,-0.8377799705813713
100,-0.8771382015858321
101,-0.8835832833778554
102,-0.8797444565060452
103,-0.8808739301477408
104,-0.8749652380776424
105,-0.8766089689125062
106,-0.8771078082939837
107,-0.8816845475023765
108,-0.877011746182077
109,-0.8777422477669559
