,dtail
0,-0.445951764674741
1,-0.41212077342700526
2,-0.4667205907889782
3,-0.4773117729262532
4,-0.532294599428873
5,-0.49057145678299485
6,-0.4769415011160982
7,-0.4725476008091055
8,-0.4464931040387342
9,-0.4416661833635083
10,-0.44172484689388397
11,-0.39676185640108463
12,-0.4240807500005923
13,-0.37203543514485526
14,-0.3666420799954196
15,-0.47196968521939586
16,-0.3019106020094912
17,-0.28705874712579776
18,-0.3601303607820138
19,-0.3887766331820589
20,-0.38652689030412407
21,-0.5178993991811344
22,-0.5303083350547982
23,-0.5207981050489874
24,-0.4884443421513449
25,-0.4567301152991262
26,-0.49480614666547945
27,-0.5154461241586428
28,-0.47301357819146606
29,-0.4827104956646041
30,-0.4699579195079913
31,-0.47345645335429987
32,-0.45651098210291124
33,-0.4508218248943515
34,-0.44925942551887477
35,-0.492419051158394
36,-0.4491206824496778
37,-0.44784313275453647
38,-0.45816654018265
39,-0.4351102459704983
40,-0.5021023319910634
41,-0.45525202488887284
42,-0.4651675816507881
43,-0.46972601223243715
44,-0.41959223335809354
45,-0.3992743190468298
46,-0.3914992878820018
47,-0.37275532193728345
48,-0.37844176828034437
49,-0.3896730491119719
50,-0.33903884245577937
51,-0.3517994719816077
52,-0.35291337023248465
53,-0.33162597107083347
54,-0.342567074626662
55,-0.37844933907980405
56,-0.3838536775955707
57,-0.4009575898301087
58,-0.3982308664614751
59,-0.4092867901209932
60,-0.4320284621492153
61,-0.42672012283186506
62,-0.46256796193346095
63,-0.43100959030718744
64,-0.40109843682866414
65,-0.35773819298217313
66,-0.37135194261300997
67,-0.3867195012266746
68,-0.39593015442418367
69,-0.4452705727066018
70,-0.391568209064591
71,-0.41350901778373994
72,-0.3873855424353676
73,-0.39924258868237794
74,-0.41920854327693624
75,-0.39736582215715277
76,-0.39621979223211834
77,-0.4260844906367383
78,-0.3677540623881472
79,-0.3200906953406684
80,-0.32070551479395126
81,-0.3155547878045003
82,-0.31876581991056596
83,-0.4130037077918268
84,-0.3969878223243626
85,-0.37939782668088495
86,-0.339833526813097
87,-0.3438252061635575
88,-0.369376405225437
89,-0.29708843740575674
90,-0.2951818968459628
91,-0.34944864461317643
92,-0.29473733476306674
93,-0.2909154637859637
94,-0.3299366320283695
95,-0.36276257376866305
96,-0.33793174764065587
97,-0.33882231490621273
98,-0.3518855344645233
99,-0.35214664232325227
100,-0.34025614768475
101,-0.3424769646112383
102,-0.343147889540791
103,-0.3390364630574527
104,-0.34151439071575385
105,-0.34161369212894116
106,-0.3402023454056346
107,-0.3395174945116335
108,-0.33954958695491405
109,-0.3388171014088758
