,dtail
0,-0.9112389736536957
1,-0.864697542586026
2,-0.9098864357335438
3,-0.9153035728298515
4,-0.9483079357262596
5,-0.897146217360631
6,-0.8959257340413929
7,-0.8662825385026426
8,-0.8565400353325938
9,-0.8705921416960047
10,-0.8755524641917085
11,-0.8639516014221613
12,-0.9141042561151368
13,-0.8851577349880007
14,-0.8827766568430073
15,-0.9024538515403653
16,-0.844987353180241
17,-0.8716215597322611
18,-0.9124217915197083
19,-0.9650225171921512
20,-0.9516112064566504
21,-0.9778418989037758
22,-0.9264842270495314
23,-0.9681569840699623
24,-0.9664466291240982
25,-0.9793980415600558
26,-0.9925057166449712
27,-0.9337602429175651
28,-0.91115762264956
29,-0.9118155959554567
30,-0.9065647569851691
31,-0.8835354030432168
32,-0.8994199652081167
33,-0.922848108519398
34,-0.95214485657102
35,-0.9693641940476296
36,-0.9690455405578469
37,-0.9536330021993279
38,-0.9625671280855662
39,-0.9434244101647452
40,-0.9772146418015351
41,-0.9568783438591145
42,-0.9570777558444905
43,-0.9720804675950656
44,-0.9231484268954602
45,-0.9357800883282431
46,-0.9267957387197127
47,-0.9128606963225596
48,-0.890496398396426
49,-0.9039323355908847
50,-0.885811443327741
51,-0.8870056185718939
52,-0.9070809921268078
53,-0.8636303161368869
54,-0.8798489840938338
55,-0.8986836013903629
56,-0.8888438589485742
57,-0.8930235000724787
58,-0.8952976230148043
59,-0.8909800875840281
60,-0.8912387003321033
61,-0.9278755281003654
62,-0.9331728116212148
63,-0.8806816946636324
64,-0.8814626665188573
65,-0.8599620517794158
66,-0.8776889735815051
67,-0.8940151783114669
68,-0.880023257221998
69,-0.9337608975017793
70,-0.9192457989643652
71,-0.9161997735660732
72,-0.8797000759435981
73,-0.8789892293267809
74,-0.916968191754113
75,-0.8949245928143061
76,-0.9171594022711791
77,-0.9253453353977551
78,-0.8822177952089734
79,-0.8757417280156101
80,-0.8787130653807161
81,-0.8655309235765599
82,-0.8787028022459625
83,-0.9797731705590519
84,-0.988336952541456
85,-0.9465627005152125
86,-0.9303845810392639
87,-0.9468657793007096
88,-1.007138808802754
89,-0.9398814123154793
90,-0.9114343098312232
91,-0.9719524738195175
92,-0.9405319874234346
93,-0.9293799017617439
94,-0.931407648855173
95,-0.964166123778372
96,-0.9444532980227569
97,-0.9602714767117301
98,-0.9683655325580964
99,-0.9528811391180945
100,-0.9478525976680858
101,-0.9356900109933237
102,-0.935183001117877
103,-0.9373008643285459
104,-0.9335686759253345
105,-0.9323698612681062
106,-0.9318504009732322
107,-0.9296648594463564
108,-0.9264885998170951
109,-0.9222364270923722
