,dtail
0,-0.44283937500318177
1,-0.4053134044273561
2,-0.45250741449185994
3,-0.44553666216523063
4,-0.49058954820045025
5,-0.45684426636330366
6,-0.4525324267189969
7,-0.4487705882015326
8,-0.43690199124162155
9,-0.42303830336312004
10,-0.4198654605537652
11,-0.4056910968696579
12,-0.4415562208315128
13,-0.39799037798583214
14,-0.4300408095318678
15,-0.4277460280075911
16,-0.3825789072177437
17,-0.4156240757573905
18,-0.4699574953410156
19,-0.49498256440811805
20,-0.4590502284458983
21,-0.4727503033076499
22,-0.4357187168444159
23,-0.45976191416304407
24,-0.4575879646665437
25,-0.46108111203904845
26,-0.4803723417100881
27,-0.44227273628970654
28,-0.44825271756392626
29,-0.42974586458700936
30,-0.42621193917465744
31,-0.4117421500227858
32,-0.42181941738727774
33,-0.40598942398184057
34,-0.4155356683772451
35,-0.4466555124732917
36,-0.41016509336163537
37,-0.3981364299662453
38,-0.4368161927365901
39,-0.4421339093570653
40,-0.47243074928699985
41,-0.4699639979734034
42,-0.469029971640905
43,-0.4651540819390969
44,-0.4329329363773798
45,-0.4489738762403624
46,-0.4364615019626158
47,-0.43177403834475847
48,-0.41205149126629603
49,-0.416601133032886
50,-0.41938736204606636
51,-0.42089978689068663
52,-0.4120727808466204
53,-0.3855845779255383
54,-0.4138539819696499
55,-0.448715380734655
56,-0.4475883393339276
57,-0.45036917746583677
58,-0.4395588418299159
59,-0.43338701595576223
60,-0.4431668105992221
61,-0.492004711392562
62,-0.492821927203961
63,-0.4768509155035826
64,-0.4563373610423572
65,-0.4328571400407737
66,-0.4308361179652092
67,-0.44989536240934885
68,-0.416338065132161
69,-0.45405838599880993
70,-0.44201240527683183
71,-0.4747070412032285
72,-0.43033391926235465
73,-0.44302970857935864
74,-0.5154848839249151
75,-0.48044536991609654
76,-0.4769533829343877
77,-0.4820140206335278
78,-0.434517745736509
79,-0.40516607894709356
80,-0.41008841904082827
81,-0.4098383122072924
82,-0.4093459983775569
83,-0.44598156517262955
84,-0.44502366722564823
85,-0.4167743273213741
86,-0.3978309237522307
87,-0.3907133212460956
88,-0.4257386957457385
89,-0.35113385978503864
90,-0.3378369559099867
91,-0.3770210893199654
92,-0.3388105989996748
93,-0.3275627106943885
94,-0.3370377857242525
95,-0.38559689524762164
96,-0.3594017723191905
97,-0.3971040490344758
98,-0.3972110899770944
99,-0.3573235293053378
100,-0.36287623730862606
101,-0.36937711760434666
102,-0.36281947360288647
103,-0.36211020078068507
104,-0.35594684782751884
105,-0.3593727444749455
106,-0.3526786714610376
107,-0.3515495423664159
108,-0.35259300990167397
109,-0.34836823643049375
