,dtail
0,0.1688983709168982
1,0.14570837283513977
2,0.16531321682623668
3,0.19324565584939085
4,0.21744018900594847
5,0.18865264842291396
6,0.1345495489768952
7,0.12426027545966975
8,0.1667188145668501
9,0.1994770122410034
10,0.1733920077061202
11,0.21005316378702127
12,0.18200778146263197
13,0.15927904191310482
14,0.15165708962799085
15,0.15770235421121248
16,0.15877703735492843
17,0.20110944886679882
18,0.17786926939540604
19,0.17568952741287436
20,0.0940082642514789
21,0.14663943722962486
22,0.16366519551133435
23,0.1524070952955055
24,0.19966913495715072
25,0.1878885894983069
26,0.2062627782569908
27,0.18943360954778454
28,0.187803421011133
29,0.1967072815825162
30,0.20534960335183894
31,0.20048206263609702
32,0.19865870902616317
33,0.19273608375869905
34,0.2127905236559936
35,0.18562916221302933
36,0.19244735063934743
37,0.2077868022294293
38,0.19677480971152939
39,0.19260375996466922
40,0.19738492365321536
41,0.19522213078601086
42,0.208467472087894
43,0.2176371654053747
44,0.2116429091753924
45,0.1736065476954085
46,0.20267606323708143
47,0.2146310425187945
48,0.21716052348810122
49,0.24230959008421726
50,0.22269101152864823
51,0.2480426753765831
52,0.25553415159002657
53,0.26082680247554835
54,0.21057834248013696
55,0.26163152000233847
56,0.22197828508113204
57,0.20738111495933753
58,0.20440662301236168
59,0.18304352491300313
60,0.1713275659140966
61,0.1711638434193541
62,0.18980708966436977
63,0.19268826898415303
64,0.18493520140541309
65,0.167407667113866
66,0.1658579426728264
67,0.17318405370133294
68,0.16190225927545465
69,0.17724385985296864
70,0.18782329087594463
71,0.31689999970469135
72,0.2250874775691981
73,0.2352097088582824
74,0.2618318142574475
75,0.262403372334473
76,0.291664162686166
77,0.25271785059670543
78,0.24701722257946868
79,0.2757910462615876
80,0.2612307238435016
81,0.2562042230851645
82,0.26643708782716385
83,0.2588946730753464
84,0.3201116951742852
85,0.2616259878643175
86,0.2697310707360428
87,0.23403268835892943
88,0.259392335989371
89,0.2618741951132597
90,0.2577576510829618
91,0.2186876700696877
92,0.24302362891585844
93,0.23929966905054173
94,0.2199420521469187
95,0.23234894559475894
96,0.21083250990477193
97,0.20714252604703537
98,0.16515874817412335
99,0.20930466630063888
100,0.19078058564919073
101,0.1878284965070072
102,0.17796899383271073
103,0.1766470719182838
104,0.16895672449807045
105,0.16438607086484816
106,0.16099975377843606
107,0.15666679310027234
108,0.15158969529753605
109,0.14734397707916497
